,t1,init,fp1,fp3,fp2
x218,1,0,0,0,0
x219,1,1,1,1,1
x220,1,1,1,1,1
x221,1,1,0,0,0
x222,1,1,1,1,1
x225,1,1,0,0,0
x226,1,1,0,0,0
x228,1,1,0,0,0
x231,1,1,0,0,0
x232,1,0,0,0,0
x234,1,1,1,1,1
x236,1,1,0,0,0
x237,1,1,0,0,0
x238,1,1,1,1,1
x241,1,1,1,1,1
x242,1,0,1,1,1
x243,1,0,0,0,0
x247,1,0,0,0,0
x248,1,1,1,1,1
x249,1,0,0,0,0
x250,1,1,0,0,0
x252,1,1,0,0,0
x256,1,0,0,0,0
x259,1,1,0,0,0
x260,1,1,0,1,0
x263,1,1,0,0,0
x267,1,0,1,1,1
x268,1,0,1,1,1
x270,1,1,0,1,0
x272,1,1,0,0,0
x274,1,1,0,0,0
x275,1,1,0,0,0
x277,1,1,1,1,1
x278,1,1,1,1,1
x280,1,1,1,1,1
x284,1,0,1,1,1
x285,1,1,0,0,0
x286,1,1,0,1,0
x287,1,1,1,0,0
x288,1,1,0,0,0
x290,1,1,1,1,1
x291,1,1,0,0,0
x294,1,1,0,0,0
x295,1,0,0,1,0
x296,1,1,0,0,0
x297,1,0,0,0,0
x298,1,1,0,0,0
