,t1,fp2,fp1,init,fp3
x239,0,0,0,0,0
x241,0,0,0,1,0
x242,0,1,0,1,1
x243,0,0,1,1,1
x244,0,1,1,0,1
x246,0,0,1,1,0
x247,0,0,0,0,0
x250,0,0,1,0,0
x253,0,0,1,0,0
x254,0,1,1,0,1
x255,0,0,1,1,1
x256,0,0,1,0,0
x259,0,0,0,1,0
x260,0,0,1,0,1
x264,0,0,1,0,1
x267,0,0,1,0,1
x269,0,1,0,1,1
x270,0,1,0,1,1
x272,0,1,0,1,1
x275,0,0,0,0,0
x279,0,1,0,1,1
x281,0,0,0,0,0
x283,0,0,0,0,0
x284,0,0,1,0,0
x285,0,1,1,1,1
x286,0,0,0,1,0
x290,0,1,1,1,1
x292,0,0,0,0,0
x293,0,0,0,0,0
x294,0,1,0,0,1
x296,0,0,0,0,0
x297,0,0,1,0,0
x300,0,0,1,0,0
x303,0,1,1,0,1
x306,0,1,0,1,1
x307,0,1,1,0,1
x310,0,0,0,0,0
x315,0,1,1,1,1
x316,0,0,1,0,1
x317,0,1,0,1,1
x318,0,1,1,0,1
x319,0,1,0,1,1
x320,0,0,0,0,0
x322,0,1,0,0,1
x323,0,0,0,1,0
x324,0,1,0,1,1
x326,0,1,1,1,1
x329,0,0,1,0,0
x331,0,1,1,0,1
x332,0,0,0,0,0
x333,0,0,1,0,0
x335,0,0,0,0,0
x336,0,0,1,0,0
x340,0,0,0,0,0
x345,0,1,1,1,1
x347,0,0,1,1,0
x349,0,0,1,0,0
x350,0,1,0,0,0
x352,0,0,0,0,0
x354,0,0,0,0,0
x355,0,0,1,0,0
x356,0,0,0,0,0
x357,0,0,0,0,0
x359,0,1,1,1,1
x361,0,1,0,1,1
x362,0,1,1,0,1
x364,0,0,1,1,0
x366,0,1,1,0,1
x368,0,1,1,0,1
x370,0,1,0,0,1
x372,0,0,1,1,0
x373,0,1,0,1,1
x377,0,1,1,0,1
x378,0,1,1,0,1
x379,0,0,1,0,0
x382,0,1,1,0,1
x383,0,1,1,1,1
x386,0,1,1,0,1
x387,0,1,0,0,1
x388,0,1,1,1,1
x389,0,1,1,0,1
x392,0,0,0,0,0
x395,0,0,0,0,0
x396,0,0,0,1,0
x397,0,0,0,0,0
x398,0,1,0,0,0
x401,0,1,0,1,1
x402,0,1,0,1,1
x403,0,0,0,0,0
x404,0,0,1,1,0
x405,0,1,1,0,1
x407,0,1,0,0,1
x409,0,1,0,0,0
x410,0,1,0,0,1
x415,0,1,0,0,1
x417,0,1,0,0,0
x418,0,1,1,1,1
x419,0,1,1,1,1
x422,0,1,1,0,1
x423,0,1,1,1,1
x427,0,0,0,0,0
x429,0,1,0,0,0
x433,0,1,0,0,1
x434,0,0,1,0,0
x436,0,0,1,0,0
x438,0,1,1,0,1
x439,0,0,0,0,0
x440,0,0,0,0,0
x447,0,1,0,1,1
x448,0,1,1,0,1
x449,0,0,0,1,0
x450,0,0,0,0,0
x451,0,0,0,0,0
x452,0,1,1,0,1
x453,0,0,0,0,0
x454,0,0,1,0,1
x455,0,0,0,0,0
x456,0,1,0,0,1
x459,0,0,0,0,0
x460,0,1,1,0,1
x461,0,1,0,0,1
x466,0,0,1,0,0
x468,0,1,0,1,1
x473,0,1,0,0,0
x474,0,0,0,0,0
x475,0,0,0,0,0
x478,0,0,1,0,1
x480,0,1,0,1,1
x481,0,0,0,1,0
x483,0,0,0,0,0
x484,0,1,1,0,1
x485,0,1,0,0,1
x488,0,0,1,1,0
x491,0,1,0,0,1
x493,0,0,0,1,0
x494,0,0,0,0,0
x496,0,1,0,0,1
x498,0,0,0,0,0
x499,0,1,0,0,1
x500,0,0,1,1,1
x501,0,0,0,0,0
x502,0,1,1,0,1
x503,0,0,0,1,0
x505,0,1,0,1,1
x506,0,0,1,0,0
x507,0,1,0,1,1
x509,0,0,0,0,0
x511,0,1,1,0,1
x0,1,1,0,0,1
x2,1,1,0,0,1
x4,1,1,0,0,1
x5,1,1,0,1,1
x8,1,0,1,0,1
x9,1,0,0,1,0
x11,1,1,1,0,1
x12,1,0,0,1,0
x15,1,1,0,0,1
x18,1,0,1,1,0
x19,1,0,0,1,0
x23,1,0,0,1,0
x24,1,0,1,0,0
x26,1,0,1,0,0
x29,1,0,0,0,0
x30,1,1,1,1,1
x31,1,0,1,1,0
x32,1,1,1,0,1
x34,1,1,0,1,1
x35,1,1,0,1,1
x36,1,0,1,1,0
x38,1,1,0,0,1
x39,1,1,0,1,0
x40,1,1,1,0,1
x41,1,0,1,1,0
x43,1,0,1,0,0
x45,1,0,0,1,0
x46,1,1,0,1,1
x47,1,0,1,1,1
x48,1,0,0,1,0
x49,1,0,0,1,0
x50,1,0,0,1,0
x51,1,0,0,1,0
x52,1,1,0,1,1
x53,1,0,0,1,0
x54,1,1,1,1,1
x56,1,1,1,1,1
x57,1,1,0,0,1
x58,1,1,0,1,1
x59,1,0,0,0,0
x63,1,1,0,0,1
x64,1,1,1,1,1
x65,1,0,1,1,0
x66,1,1,0,0,1
x67,1,1,1,1,1
x70,1,1,0,1,1
x73,1,1,0,0,0
x74,1,1,1,0,1
x76,1,1,0,1,1
x79,1,1,0,0,1
x81,1,1,1,0,1
x85,1,1,1,1,1
x88,1,1,1,1,1
x89,1,1,0,1,0
x90,1,1,1,1,1
x91,1,0,1,0,0
x94,1,1,1,1,1
x95,1,1,1,1,1
x96,1,0,0,1,0
x97,1,0,1,0,0
x98,1,0,0,1,0
x102,1,0,1,1,0
x103,1,0,1,1,0
x105,1,0,0,1,0
x108,1,0,1,1,0
x110,1,1,0,1,0
x111,1,1,1,1,1
x115,1,1,0,0,1
x120,1,1,1,1,1
x122,1,0,0,1,1
x124,1,0,0,0,0
x125,1,0,1,1,0
x126,1,0,0,0,0
x128,1,1,0,1,1
x129,1,0,0,1,0
x132,1,0,0,0,0
x133,1,1,1,1,1
x135,1,1,1,1,1
x136,1,1,1,1,1
x137,1,0,1,0,0
x142,1,0,0,1,0
x143,1,0,0,1,0
x144,1,0,0,1,0
x145,1,0,0,1,0
x146,1,0,1,0,0
x147,1,0,1,1,0
x148,1,1,1,1,1
x152,1,0,1,1,0
x155,1,1,1,0,1
x156,1,1,0,0,1
x159,1,1,1,1,1
x161,1,0,1,0,0
x165,1,0,0,0,0
x167,1,0,0,1,0
x169,1,0,1,0,0
x170,1,0,0,0,0
x173,1,0,0,0,0
x174,1,0,1,0,0
x176,1,0,0,1,0
x177,1,0,1,1,0
x178,1,1,0,0,1
x183,1,1,0,1,1
x188,1,0,0,1,0
x189,1,0,0,0,0
x190,1,0,1,1,0
x191,1,0,0,1,0
x192,1,0,0,1,0
x193,1,1,0,0,1
x194,1,0,0,1,0
x195,1,0,0,1,0
x199,1,0,1,1,1
x200,1,1,0,1,1
x201,1,1,1,1,1
x203,1,0,1,0,0
x205,1,0,0,0,0
x206,1,0,0,1,0
x207,1,0,0,1,0
x208,1,0,0,0,0
x210,1,0,0,1,0
x211,1,0,0,1,0
x214,1,1,1,1,1
x216,1,1,0,1,0
x220,1,0,1,0,0
x221,1,0,0,1,0
x223,1,0,1,0,0
x230,1,0,1,1,1
x231,1,1,0,1,1
x233,1,1,1,1,1
x234,1,0,0,1,0
x235,1,0,1,1,0
x236,1,1,1,1,1
x237,1,0,1,0,0
x240,1,1,1,1,1
x245,1,0,0,1,0
x248,1,0,1,1,0
x249,1,1,1,1,1
x251,1,1,1,1,1
x252,1,1,0,1,0
x257,1,1,0,0,0
x258,1,1,1,1,1
x261,1,0,1,1,1
x262,1,0,0,1,0
x263,1,0,1,0,0
x265,1,1,0,1,1
x266,1,0,0,1,0
x268,1,1,1,1,1
x271,1,0,1,0,1
x273,1,1,1,1,1
x274,1,1,0,1,1
x276,1,0,0,1,0
x277,1,0,0,1,0
x278,1,1,1,1,1
x280,1,0,0,0,0
x282,1,0,1,1,0
x287,1,1,1,1,1
x288,1,1,0,0,1
x289,1,1,0,1,1
x291,1,0,1,0,0
x295,1,1,1,1,1
x298,1,0,1,1,1
x299,1,1,0,1,1
x301,1,1,0,1,1
x302,1,0,1,1,0
x304,1,0,1,1,0
x305,1,1,0,1,0
x308,1,0,0,1,0
x309,1,1,1,1,1
x311,1,1,1,1,1
x312,1,0,0,1,0
x313,1,1,1,1,1
x314,1,1,0,0,1
x321,1,0,0,0,0
x325,1,1,1,1,1
x327,1,0,1,1,1
x328,1,0,0,1,0
x330,1,0,0,1,0
x334,1,1,1,0,1
x337,1,1,0,0,1
x338,1,1,1,1,1
x339,1,1,0,1,1
x341,1,0,0,1,0
x342,1,0,1,1,0
x343,1,1,0,1,1
x344,1,1,1,1,1
x346,1,0,1,0,0
x348,1,0,0,1,0
x351,1,1,0,1,0
x353,1,1,0,1,1
x358,1,1,1,1,1
x360,1,1,0,1,1
x363,1,0,1,0,0
x365,1,1,0,0,1
x367,1,0,0,1,0
x369,1,1,1,1,1
x371,1,0,1,1,0
x374,1,0,1,1,0
x375,1,1,0,1,0
x376,1,0,0,1,0
x380,1,1,0,1,1
x381,1,1,0,1,1
x384,1,0,0,1,0
x385,1,0,1,1,1
x390,1,0,1,0,1
x391,1,0,1,1,0
x393,1,0,1,0,1
x394,1,0,0,1,0
x399,1,1,0,1,1
x400,1,1,1,0,1
x406,1,1,0,0,0
x408,1,0,0,1,0
x411,1,0,0,0,0
x412,1,1,0,1,1
x413,1,0,1,1,0
x414,1,0,0,0,0
x416,1,0,0,1,0
x420,1,0,0,1,0
x421,1,1,1,1,1
x424,1,0,0,1,0
x425,1,1,1,0,1
x426,1,0,0,1,0
x428,1,1,1,1,1
x430,1,0,1,1,1
x431,1,0,0,1,0
x432,1,1,1,1,1
x435,1,0,1,1,1
x437,1,1,0,1,0
x441,1,0,0,1,0
x442,1,0,1,0,0
x443,1,1,1,1,1
x444,1,0,1,0,0
x445,1,0,0,1,0
x446,1,1,1,0,1
x457,1,1,1,1,1
x458,1,1,1,1,1
x462,1,1,1,0,1
x463,1,1,1,1,1
x464,1,0,0,1,0
x465,1,0,1,1,1
x467,1,1,0,1,0
x469,1,0,1,1,0
x470,1,0,1,1,1
x471,1,1,0,1,1
x472,1,1,1,0,1
x476,1,0,1,1,0
x477,1,0,0,0,0
x479,1,0,1,0,0
x482,1,0,1,0,0
x486,1,1,0,1,1
x487,1,0,0,1,0
x489,1,0,1,1,0
x490,1,1,1,1,1
x492,1,0,0,1,0
x495,1,0,1,0,0
x497,1,0,1,0,0
x504,1,0,0,1,0
x508,1,1,1,0,1
x510,1,0,1,1,1
