,init,fp3,fp2,fp1,t1
x238,0,0,0,1,1
x240,0,0,0,0,0
x241,0,0,0,1,0
x242,0,1,1,1,0
x244,0,0,0,0,0
x246,0,1,1,1,0
x247,0,0,0,0,0
x250,0,1,1,1,0
x251,0,1,1,1,0
x252,0,1,1,1,0
x256,0,1,1,1,0
x258,0,1,1,0,1
x262,0,1,1,1,0
x265,0,1,1,1,0
x266,0,0,0,0,0
x267,0,1,0,0,1
x269,0,1,1,1,0
x270,0,1,1,1,0
x275,0,0,0,0,0
x280,0,1,1,1,0
x281,0,0,0,0,0
x282,0,0,0,0,0
x283,0,0,0,0,0
x284,0,1,1,0,1
x287,0,0,0,0,0
x288,0,0,0,0,0
x289,0,0,0,0,1
x291,0,1,1,1,1
x292,0,1,1,1,0
x298,0,1,1,1,0
x299,0,1,1,0,0
x300,0,0,0,0,1
x301,0,1,1,0,1
x303,0,1,1,1,0
x306,0,1,1,1,1
x308,0,0,0,0,0
x311,0,1,1,1,1
x312,0,0,0,0,0
x314,0,1,1,0,0
x315,0,1,1,1,0
x316,0,1,1,1,0
x318,0,0,0,1,0
x324,0,1,1,1,0
x325,0,1,1,1,0
x327,0,0,0,0,0
x328,0,1,1,1,0
x334,0,0,0,1,0
x336,0,1,1,1,0
x339,0,0,0,0,1
x342,0,0,0,0,0
x344,0,1,1,1,0
x347,0,0,0,0,0
x349,0,1,1,1,0
x351,0,0,0,0,1
x352,0,1,1,1,0
x353,0,0,0,0,0
x357,0,0,0,1,0
x364,0,0,0,0,0
x365,0,0,0,0,1
x367,0,1,1,0,0
x369,0,1,1,1,1
x371,0,1,1,1,0
x372,0,1,1,1,0
x373,0,0,0,0,0
x374,0,0,0,0,0
x375,0,0,1,0,0
x378,0,0,0,1,1
x379,0,1,1,1,0
x381,0,0,0,0,0
x0,1,1,1,0,1
x1,1,0,0,1,1
x4,1,1,1,1,1
x7,1,0,1,0,0
x8,1,0,1,1,1
x10,1,1,1,0,0
x13,1,0,0,1,1
x15,1,1,1,1,1
x17,1,1,1,1,1
x20,1,1,1,1,1
x21,1,0,0,1,1
x22,1,0,1,0,0
x25,1,0,0,1,1
x26,1,1,1,1,1
x27,1,0,0,0,1
x30,1,1,1,1,1
x32,1,1,1,1,1
x34,1,1,1,1,1
x37,1,0,0,0,1
x39,1,0,0,0,0
x40,1,1,1,1,1
x41,1,0,0,1,0
x42,1,1,1,1,1
x43,1,1,1,1,1
x44,1,0,0,0,0
x45,1,0,0,1,1
x47,1,0,0,1,0
x49,1,1,1,1,1
x51,1,0,0,1,1
x54,1,1,1,1,1
x55,1,1,1,1,1
x61,1,0,0,1,0
x63,1,1,1,0,1
x66,1,0,0,1,1
x69,1,1,1,1,1
x72,1,0,0,0,1
x75,1,0,0,0,1
x76,1,0,0,0,1
x77,1,0,0,0,1
x79,1,1,1,1,1
x80,1,1,1,1,1
x81,1,0,0,1,1
x84,1,1,1,1,1
x85,1,1,1,1,1
x86,1,1,1,0,1
x87,1,0,0,1,1
x88,1,1,1,1,1
x91,1,0,0,0,1
x92,1,1,1,1,1
x94,1,0,0,1,1
x97,1,0,0,0,1
x99,1,0,0,0,1
x100,1,0,0,0,1
x103,1,1,1,0,1
x105,1,1,1,0,1
x106,1,1,1,0,0
x108,1,1,1,1,0
x109,1,1,1,1,0
x116,1,1,1,1,1
x117,1,1,1,1,1
x126,1,1,1,1,0
x127,1,0,0,0,1
x130,1,1,1,1,1
x132,1,0,0,0,0
x134,1,0,0,0,1
x136,1,1,1,1,1
x137,1,1,1,1,1
x138,1,1,1,0,1
x139,1,0,0,1,1
x140,1,0,0,0,1
x141,1,0,0,1,0
x143,1,0,0,1,1
x146,1,1,1,1,1
x148,1,0,0,0,1
x154,1,0,0,0,0
x156,1,0,0,0,0
x157,1,0,0,0,0
x160,1,0,0,0,1
x161,1,0,0,0,1
x163,1,1,1,1,1
x164,1,1,1,1,1
x165,1,0,0,0,0
x167,1,1,1,1,0
x168,1,1,1,0,0
x171,1,1,1,1,1
x173,1,0,0,0,1
x174,1,1,1,1,1
x175,1,0,0,0,1
x176,1,1,1,1,1
x181,1,1,1,1,1
x183,1,0,0,0,1
x184,1,0,0,0,0
x185,1,1,1,1,1
x188,1,1,1,1,1
x189,1,0,0,1,1
x194,1,1,1,1,1
x198,1,0,0,0,1
x199,1,1,1,1,1
x202,1,1,1,1,1
x203,1,1,1,0,1
x204,1,0,0,0,0
x205,1,0,0,1,1
x206,1,1,1,0,1
x208,1,1,1,0,1
x210,1,0,0,0,0
x212,1,0,0,0,1
x213,1,0,0,0,1
x214,1,1,1,1,1
x215,1,1,1,0,1
x217,1,0,0,0,1
x219,1,1,1,1,1
x220,1,0,0,1,1
x221,1,0,0,1,0
x223,1,1,1,1,1
x224,1,1,1,1,1
x226,1,1,1,1,1
x227,1,1,1,0,0
x228,1,1,1,1,1
x229,1,0,0,0,1
x230,1,1,1,0,1
x232,1,1,1,1,0
x234,1,1,1,1,1
x235,1,0,0,1,0
x237,1,0,0,0,1
x239,1,1,1,1,1
x243,1,0,0,0,1
x245,1,0,0,0,0
x248,1,1,1,1,1
x249,1,0,0,0,1
x253,1,1,1,1,1
x254,1,0,0,1,0
x255,1,1,1,0,1
x257,1,1,1,1,1
x259,1,0,0,1,0
x260,1,1,1,1,1
x261,1,1,1,1,1
x263,1,0,0,1,1
x264,1,0,0,0,1
x268,1,1,1,1,0
x271,1,1,1,1,1
x272,1,0,0,0,1
x273,1,0,0,0,1
x274,1,1,1,0,1
x276,1,1,1,1,1
x277,1,1,1,1,1
x278,1,1,1,0,1
x279,1,0,0,0,1
x285,1,1,1,1,1
x286,1,1,1,1,1
x290,1,1,1,1,0
x293,1,0,0,0,1
x294,1,0,0,0,0
x295,1,0,0,1,1
x296,1,0,0,0,1
x297,1,0,0,0,1
x302,1,1,1,1,1
x304,1,1,1,1,1
x305,1,0,0,1,0
x307,1,1,1,1,1
x309,1,1,1,1,1
x310,1,0,0,0,1
x313,1,1,1,1,1
x317,1,1,1,0,1
x319,1,1,1,1,1
x320,1,1,1,0,1
x321,1,0,0,1,1
x322,1,0,0,0,1
x323,1,1,1,1,0
x326,1,1,1,1,0
x329,1,1,1,1,1
x330,1,1,1,1,1
x331,1,1,1,1,0
x332,1,1,1,1,1
x333,1,1,1,1,1
x335,1,1,1,0,0
x337,1,1,1,1,1
x338,1,1,1,1,0
x340,1,1,1,1,1
x341,1,0,0,0,0
x343,1,1,1,0,1
x345,1,0,0,0,1
x346,1,1,1,1,0
x348,1,0,0,0,0
x350,1,1,1,1,1
x354,1,1,0,0,1
x355,1,1,1,0,1
x356,1,1,1,1,0
x358,1,1,1,1,1
x359,1,0,0,1,0
x360,1,0,0,1,0
x361,1,1,1,1,1
x362,1,0,0,1,1
x363,1,0,0,1,1
x366,1,0,0,0,0
x368,1,0,0,0,1
x370,1,1,1,1,1
x376,1,0,0,1,1
x377,1,1,1,1,1
x380,1,1,1,0,1
x382,1,0,0,1,1
x383,1,0,0,1,1
