,fp1,fp3,init,fp2,t1
x387,1,1,1,1,1
x389,1,0,0,1,0
x392,1,0,0,0,0
x395,1,1,0,1,0
x399,1,1,0,1,0
x401,1,1,0,1,1
x402,1,1,1,1,1
x403,1,1,1,1,0
x405,1,0,0,0,0
x406,1,1,0,1,0
x407,1,1,1,1,1
x408,1,0,0,1,1
x409,1,1,1,1,0
x410,1,0,1,1,0
x412,1,1,1,1,1
x413,1,1,1,1,1
x414,1,1,0,1,0
x416,1,1,1,1,1
x418,1,0,1,1,1
x419,1,0,1,0,1
x420,1,0,1,1,0
x422,1,1,1,1,1
x423,1,1,0,1,0
x424,1,1,1,1,1
x427,1,1,0,1,0
x429,1,1,1,1,1
x434,1,0,0,1,1
x440,1,1,1,1,1
x441,1,0,0,1,0
x444,1,1,1,1,1
x447,1,1,0,1,0
x448,1,1,0,1,0
x454,1,1,0,1,0
x455,1,1,0,1,1
x458,1,1,1,1,1
x462,1,1,1,1,0
x464,1,0,0,0,0
x465,1,1,1,1,1
x466,1,0,0,0,0
x467,1,1,1,1,1
x468,1,1,1,1,1
x469,1,1,1,1,0
x470,1,1,0,1,0
x471,1,1,1,1,1
x474,1,1,0,1,1
x475,1,0,1,1,1
x476,1,1,0,1,0
x477,1,1,1,1,0
x478,1,0,0,0,0
x479,1,1,0,1,0
x483,1,1,1,1,1
x487,1,1,1,1,0
x488,1,0,0,0,0
x491,1,1,1,1,1
x492,1,1,1,1,0
x493,1,1,1,1,0
x496,1,1,1,1,0
x497,1,0,0,1,0
x498,1,1,0,1,0
x499,1,1,0,1,0
x501,1,0,0,0,0
x506,1,1,1,1,1
x508,1,1,0,1,1
x509,1,1,0,1,0
x511,1,1,1,1,1
