,fp3,t1,init,fp2,fp1
x450,1,0,1,1,1
x451,1,0,1,1,1
x452,1,0,0,0,0
x454,1,1,1,1,1
x456,1,1,1,1,1
x458,1,1,1,1,1
x463,1,0,0,0,0
x464,1,0,0,1,1
x466,1,0,0,1,1
x467,1,1,1,1,1
x468,1,0,1,0,0
x471,1,0,0,1,0
x472,1,0,0,1,1
x473,1,1,1,1,1
x474,1,1,1,1,1
x475,1,1,1,1,1
x477,1,0,1,1,1
x478,1,0,0,1,1
x481,1,0,1,1,1
x482,1,0,1,1,1
x484,1,1,0,1,1
x485,1,0,1,1,1
x486,1,0,0,1,1
x493,1,1,1,1,1
x496,1,0,1,1,1
x500,1,0,0,1,0
x505,1,0,1,1,1
x508,1,1,1,1,1
x510,1,1,1,1,1
x511,1,1,1,1,1
x512,1,0,1,1,0
x514,1,1,1,1,1
x515,1,1,1,1,0
x516,1,0,1,1,1
x518,1,0,1,1,0
x519,1,0,0,1,1
x522,1,0,0,1,1
x523,1,0,1,1,1
x524,1,1,1,1,1
x525,1,0,0,0,0
x526,1,0,1,1,1
x527,1,1,1,0,0
x531,1,1,1,0,0
x533,1,0,0,1,1
x534,1,1,1,1,1
x535,1,1,1,1,0
x537,1,1,1,1,1
x538,1,0,0,1,1
x542,1,1,1,1,1
x546,1,1,1,1,0
x551,1,0,0,1,1
x552,1,1,1,0,1
x553,1,1,1,1,1
x554,1,0,0,0,0
x557,1,1,1,1,1
x560,1,0,0,1,1
x562,1,0,0,1,1
x563,1,0,1,1,1
x564,1,1,1,1,1
x565,1,1,0,1,1
x567,1,0,0,0,0
x568,1,0,1,1,1
x570,1,0,1,1,1
x573,1,1,1,1,1
x575,1,1,1,1,1
x580,1,1,1,1,1
x581,1,1,1,1,1
x584,1,0,1,1,1
x586,1,1,1,1,1
x589,1,0,0,1,1
x591,1,1,1,1,0
x593,1,1,1,1,1
x594,1,1,1,1,1
x595,1,1,1,1,1
x598,1,1,1,1,1
x599,1,0,0,1,1
