,fp1,init,fp2,t1,fp3
x112,1,0,0,0,1
x113,1,0,1,0,1
x117,1,1,1,0,1
x118,1,1,1,1,1
x120,1,1,1,1,1
x126,1,0,1,0,1
x127,1,1,1,1,1
x128,1,0,0,0,1
x129,1,1,1,0,1
x130,1,1,1,0,1
x132,1,0,1,0,1
x134,1,0,1,1,1
x137,1,0,1,0,1
x138,1,0,1,1,1
x139,1,1,0,0,1
x144,1,1,1,0,1
x145,1,1,1,1,1
x146,1,0,1,1,1
x147,1,0,1,1,1
x151,1,1,1,0,1
x152,1,0,1,0,1
x153,1,0,1,1,1
x154,1,1,1,0,1
x158,1,1,1,0,1
x159,1,0,0,0,1
x161,1,1,1,1,1
x162,1,0,1,0,1
x163,1,1,1,1,1
x167,1,1,1,1,1
x168,1,1,1,1,1
x177,1,1,1,1,1
x178,1,0,1,0,1
x181,1,1,1,1,1
x182,1,1,1,1,1
x186,1,1,1,1,1
x189,1,0,1,0,1
x192,1,1,1,1,1
x194,1,0,1,0,1
x195,1,1,1,1,1
x197,1,0,1,1,1
x198,1,0,1,0,1
x200,1,0,1,0,1
x201,1,1,1,1,1
x204,1,0,0,0,1
x206,1,1,1,1,1
x208,1,0,1,0,1
x210,1,1,0,0,0
x211,1,0,1,1,1
x212,1,0,0,1,0
x215,1,1,1,1,1
x221,1,1,1,1,1
x224,1,1,1,0,1
x225,1,1,1,0,1
x228,1,0,0,0,1
x229,1,0,1,0,1
x231,1,1,0,1,1
x234,1,1,1,1,1
x235,1,1,1,0,1
x237,1,1,1,1,1
x238,1,0,1,0,1
x240,1,0,0,1,0
x241,1,0,1,1,1
x242,1,1,1,1,1
x243,1,0,1,0,1
x246,1,0,0,0,1
x247,1,1,1,1,1
x248,1,1,1,1,1
x254,1,1,1,0,1
x255,1,1,1,0,1
