,init,t1,fp1,fp3,fp2
x353,1,1,1,1,1
x354,1,0,0,0,0
x362,1,1,0,1,1
x363,1,1,1,1,1
x364,1,1,1,1,1
x368,1,0,0,1,1
x369,1,0,0,1,1
x373,1,1,1,1,1
x378,1,1,0,0,0
x379,1,1,0,1,1
x382,1,0,0,1,1
x383,1,1,0,0,0
x384,1,1,0,0,0
x385,1,1,0,0,0
x390,1,1,1,1,1
x391,1,1,0,0,0
x392,1,1,1,1,1
x397,1,1,1,0,0
x398,1,1,1,0,0
x399,1,1,1,1,1
x400,1,1,1,1,1
x401,1,1,1,1,1
x407,1,1,1,1,1
x408,1,1,1,0,0
x410,1,1,0,0,0
x411,1,1,1,1,1
x414,1,1,1,0,0
x416,1,0,0,1,1
x419,1,1,1,1,1
x420,1,0,0,1,1
x422,1,0,0,1,1
x423,1,0,0,1,1
x428,1,1,1,1,1
x429,1,1,1,1,1
x430,1,1,0,1,1
x432,1,1,0,1,1
x433,1,1,1,1,1
x435,1,1,1,1,1
x438,1,1,1,1,1
x444,1,1,1,1,1
x445,1,1,0,1,0
x446,1,0,0,1,0
x447,1,1,0,1,1
x449,1,1,0,0,0
x454,1,0,1,0,1
x455,1,0,0,1,1
x456,1,1,1,1,1
x457,1,0,0,1,1
x458,1,1,1,1,1
x460,1,0,0,0,0
x461,1,1,1,1,1
x464,1,1,0,0,0
x466,1,0,1,1,1
x467,1,1,1,1,1
x476,1,1,1,0,0
x479,1,1,0,1,0
x481,1,1,1,1,1
x483,1,1,0,0,0
x484,1,0,0,0,0
x487,1,1,0,1,1
x495,1,1,1,1,1
x498,1,1,0,0,1
x504,1,1,1,1,1
x505,1,1,1,1,1
x507,1,1,1,1,1
x508,1,1,1,1,1
x510,1,0,1,0,0
