,fp1,init,fp3,t1,fp2
x116,1,0,1,0,1
x117,1,1,1,1,1
x121,1,1,1,0,1
x122,1,1,0,1,0
x123,1,0,1,0,1
x126,1,0,1,0,1
x128,1,1,1,0,0
x130,1,0,1,0,1
x132,1,1,1,1,1
x134,1,1,0,1,0
x135,1,1,1,0,1
x139,1,0,0,0,0
x140,1,1,1,1,1
x142,1,1,0,1,0
x143,1,0,0,0,0
x146,1,1,1,1,1
x150,1,0,1,0,1
x154,1,0,1,1,1
x155,1,0,1,1,1
x156,1,1,1,0,1
x158,1,1,1,0,1
x160,1,1,1,1,1
x161,1,0,1,0,1
x164,1,1,0,0,0
x165,1,0,1,0,1
x166,1,0,0,1,0
x167,1,1,1,0,1
x168,1,1,1,1,1
x169,1,0,0,1,0
x170,1,1,1,1,1
x171,1,1,1,1,1
x172,1,0,1,0,1
x176,1,1,1,1,1
x178,1,0,0,1,0
x179,1,0,1,0,1
x183,1,0,1,0,1
x185,1,0,0,0,0
x186,1,1,1,1,1
x189,1,1,1,0,0
x190,1,1,1,1,1
x191,1,0,1,0,1
x192,1,1,0,1,0
x194,1,1,1,1,1
x195,1,1,0,0,0
x199,1,0,1,1,1
x201,1,1,1,1,1
x205,1,0,0,1,0
x206,1,1,1,1,1
x209,1,0,1,1,1
x210,1,0,1,1,1
x211,1,1,1,1,1
x213,1,1,1,1,1
x214,1,0,1,0,1
x216,1,1,1,1,1
x217,1,1,1,1,1
x219,1,0,0,0,0
x222,1,0,1,0,1
x225,1,0,0,1,0
x226,1,1,1,1,1
x227,1,0,1,1,1
x228,1,1,1,0,0
x229,1,0,1,0,1
x231,1,1,1,0,1
x235,1,1,1,1,1
x236,1,0,0,0,0
x239,1,0,0,1,0
x240,1,1,1,1,1
x241,1,1,1,1,1
x243,1,0,0,0,0
x244,1,1,1,1,1
x246,1,1,1,0,1
x247,1,1,1,1,0
x248,1,0,1,0,1
x250,1,1,0,1,0
x252,1,0,0,0,0
x253,1,0,1,0,0
x258,1,0,1,0,1
x259,1,1,1,1,1
x260,1,1,1,0,1
x262,1,0,0,0,0
x263,1,0,1,1,1
x267,1,1,1,1,1
x269,1,1,1,1,1
x271,1,1,1,0,1
x273,1,0,1,0,1
x275,1,0,1,0,0
x276,1,1,1,0,1
x277,1,0,0,1,0
x279,1,1,1,0,1
x280,1,0,1,1,0
x289,1,0,0,1,0
x292,1,0,1,0,1
x294,1,0,1,0,1
x295,1,1,1,1,1
x296,1,1,0,1,0
x297,1,0,0,0,0
x301,1,1,1,1,0
x304,1,1,1,1,1
x306,1,1,1,1,1
x313,1,0,1,1,1
x314,1,0,0,0,0
x316,1,1,1,1,1
x320,1,0,1,1,1
x323,1,1,1,1,1
x324,1,0,1,0,1
x325,1,1,1,1,1
x328,1,0,1,0,1
x330,1,1,1,1,1
x331,1,1,0,1,0
x334,1,0,0,0,0
x335,1,1,1,1,1
x341,1,0,0,1,0
x344,1,1,1,0,1
x345,1,0,1,0,1
x346,1,1,0,0,0
x348,1,1,0,1,0
x351,1,0,1,0,1
x352,1,1,1,1,1
x353,1,1,1,1,1
x357,1,0,1,0,1
x358,1,1,1,1,1
x359,1,0,0,0,0
x360,1,0,1,0,1
x361,1,1,1,1,1
x362,1,0,1,0,1
x364,1,1,1,1,0
x365,1,0,1,0,1
x366,1,0,0,1,0
x367,1,0,0,1,0
x368,1,1,1,1,1
x369,1,1,1,1,1
x371,1,0,0,0,0
x373,1,1,1,0,1
x374,1,1,1,1,1
x376,1,0,1,0,1
x377,1,0,1,0,1
x378,1,0,1,0,0
x379,1,1,1,1,0
x380,1,1,1,1,0
x382,1,1,1,1,1
x383,1,1,1,1,1
