,t1,fp3,init,fp2,fp1
x158,0,0,0,1,0
x160,0,0,0,0,1
x161,0,1,1,1,0
x162,0,1,0,1,1
x166,0,1,0,0,0
x167,0,0,0,0,1
x168,0,0,1,0,1
x170,0,0,1,0,1
x174,0,0,1,0,1
x175,0,0,0,0,0
x177,0,0,0,0,0
x178,0,0,0,0,0
x181,0,0,0,0,0
x183,0,1,1,0,1
x184,0,1,0,1,1
x187,0,0,0,0,1
x189,0,0,0,0,0
x190,0,0,0,1,1
x198,0,1,0,0,0
x199,0,1,0,1,0
x200,0,0,0,0,0
x201,0,1,0,1,1
x202,0,1,0,1,1
x205,0,1,1,1,1
x206,0,0,0,0,1
x207,0,1,1,1,1
x210,0,0,0,0,0
x214,0,0,0,0,0
x215,0,1,1,1,0
x217,0,1,0,1,1
x218,0,0,1,0,0
x219,0,0,1,0,0
x220,0,0,1,0,0
x221,0,1,0,1,0
x223,0,0,0,0,0
x224,0,1,1,1,0
x226,0,1,0,1,0
x227,0,1,0,1,1
x228,0,1,1,1,0
x229,0,1,0,1,1
x230,0,1,1,1,1
x233,0,0,0,0,1
x235,0,0,0,0,1
x236,0,0,0,0,0
x237,0,0,1,0,0
x239,0,0,1,0,0
x240,0,0,0,0,0
x242,0,1,1,1,0
x243,0,1,0,0,1
x246,0,0,0,0,0
x247,0,0,0,1,1
x249,0,1,1,1,1
x250,0,1,1,1,0
x252,0,0,0,0,1
x253,0,0,1,1,1
x255,0,0,0,0,0
x256,0,1,0,1,1
x258,0,0,0,0,0
x261,0,0,0,0,1
x262,0,0,1,0,0
x264,0,1,1,1,0
x265,0,0,0,0,0
x267,0,0,1,0,0
x270,0,1,0,0,1
x271,0,1,1,0,1
x272,0,1,0,1,1
x273,0,1,0,0,1
x274,0,0,0,0,0
x275,0,1,0,1,1
x277,0,0,1,0,0
x281,0,1,0,1,1
x282,0,1,0,1,1
x283,0,0,0,0,0
x284,0,0,0,0,0
x287,0,1,0,1,1
x288,0,0,0,1,0
x289,0,0,1,0,1
x291,0,0,1,1,1
x294,0,0,0,0,0
x295,0,1,0,1,1
x296,0,0,0,0,0
x298,0,1,0,1,1
x301,0,1,0,1,0
x302,0,1,1,1,0
x304,0,1,1,1,1
x309,0,1,0,1,1
x310,0,0,0,0,0
x311,0,0,0,0,0
x313,0,1,0,1,1
x314,0,0,1,0,0
x315,0,1,1,1,0
x319,0,0,0,0,1
x320,0,1,0,1,1
x326,0,0,0,0,1
x333,0,0,1,1,0
x334,0,0,1,0,0
x335,0,0,1,0,0
x336,0,0,1,0,0
x337,0,0,0,0,0
x339,0,0,0,0,0
x342,0,0,0,0,1
x343,0,0,0,0,0
x344,0,0,0,0,0
x350,0,1,1,1,1
x352,0,0,0,0,0
x355,0,0,1,0,0
x357,0,0,0,0,0
x358,0,0,0,0,0
x360,0,0,0,0,1
x361,0,1,1,1,0
x362,0,1,1,1,1
x364,0,0,0,0,0
x366,0,0,1,0,1
x367,0,1,0,0,1
x369,0,1,0,1,1
x370,0,0,0,1,1
x371,0,1,1,1,0
x372,0,1,1,1,0
x373,0,0,0,1,0
x375,0,0,1,1,0
x378,0,1,0,1,0
x383,0,1,0,0,0
x384,0,1,0,1,1
x389,0,1,0,1,1
x390,0,0,0,1,0
x391,0,0,0,0,0
x393,0,0,0,0,0
x394,0,1,1,1,0
x399,0,1,0,1,1
x401,0,1,1,0,1
x403,0,0,1,0,0
x406,0,0,0,0,1
x408,0,1,0,1,1
x409,0,1,0,0,0
x411,0,1,1,0,1
x412,0,1,1,1,0
x416,0,0,1,0,0
x417,0,1,0,1,1
x418,0,1,1,1,0
x419,0,1,1,1,0
x422,0,0,0,0,0
x423,0,1,0,1,1
x428,0,1,0,0,1
x430,0,0,1,0,0
x432,0,0,0,0,0
x433,0,0,1,0,1
x434,0,0,1,1,0
x435,0,0,0,0,0
x436,0,0,0,0,0
x437,0,1,1,1,1
x438,0,1,1,1,0
x439,0,0,1,0,1
x442,0,1,0,1,1
x443,0,0,0,0,0
x444,0,0,1,0,0
x446,0,1,0,0,1
x448,0,1,0,1,1
x449,0,1,0,1,1
x450,0,1,1,1,1
x451,0,0,0,1,0
x452,0,1,0,1,0
x458,0,1,1,1,1
x462,0,1,1,1,1
x463,0,0,0,1,0
x464,0,1,0,1,0
x469,0,1,0,0,1
x470,0,1,0,1,0
x471,0,1,1,1,0
x472,0,0,0,0,0
x473,0,0,1,0,0
x474,0,1,1,1,1
x475,0,1,1,1,1
x478,0,0,0,0,1
x479,0,1,1,1,1
x480,0,0,1,1,0
x481,0,0,0,0,0
x482,0,1,0,0,1
x484,0,1,1,1,1
x486,0,0,0,1,0
x487,0,0,0,0,0
x493,0,1,0,1,1
x495,0,1,0,1,1
x499,0,0,0,1,0
x500,0,0,0,1,0
x502,0,1,1,1,0
x503,0,1,1,1,0
x504,0,0,0,0,1
x505,0,0,0,0,0
x508,0,0,0,0,1
x511,0,1,0,1,0
x516,0,0,0,0,1
x517,0,0,0,1,0
x519,0,0,0,0,1
x522,0,0,0,0,0
x524,0,0,1,0,1
x527,0,0,0,0,0
x528,0,1,1,1,0
x529,0,1,0,0,1
x531,0,1,0,1,0
x532,0,0,1,0,1
x533,0,1,1,1,1
x537,0,0,0,0,0
x541,0,1,0,0,0
x542,0,1,0,1,1
x547,0,0,0,1,0
x548,0,1,0,1,1
x552,0,0,0,0,1
x553,0,1,1,0,0
x557,0,0,0,0,0
x558,0,0,0,0,0
x561,0,1,1,0,1
x563,0,1,0,1,1
x564,0,1,0,1,1
x566,0,1,0,0,1
x569,0,1,0,1,1
x571,0,1,1,1,0
x573,0,0,0,1,0
x574,0,1,0,1,0
x575,0,1,0,0,1
x578,0,1,0,1,1
x579,0,1,1,1,1
x580,0,1,0,1,1
x581,0,1,0,1,0
x582,0,1,0,1,1
x585,0,1,1,1,1
x587,0,0,0,1,0
x588,0,1,1,1,1
x590,0,1,0,0,1
x591,0,1,1,1,1
x593,0,1,0,1,1
x599,0,0,0,0,0
x1,1,0,0,1,0
x2,1,1,0,1,0
x4,1,0,0,1,0
x14,1,1,1,1,1
x16,1,0,0,1,0
x17,1,1,1,1,0
x20,1,1,0,1,0
x26,1,0,0,0,0
x28,1,1,0,1,1
x36,1,0,0,0,0
x37,1,1,1,0,0
x38,1,1,0,0,0
x39,1,1,0,1,0
x42,1,1,1,1,0
x44,1,0,1,0,0
x46,1,0,0,0,1
x50,1,1,1,1,0
x51,1,1,0,0,0
x52,1,0,1,0,1
x56,1,0,1,0,1
x59,1,1,0,0,1
x60,1,1,1,1,1
x62,1,0,0,0,0
x64,1,0,1,0,0
x67,1,0,1,0,0
x68,1,0,1,0,1
x69,1,1,1,0,1
x71,1,1,1,1,1
x72,1,1,1,1,1
x73,1,1,0,1,0
x76,1,0,0,0,1
x80,1,1,1,1,1
x84,1,0,0,0,0
x86,1,0,0,0,1
x87,1,0,1,0,0
x89,1,1,0,0,1
x92,1,1,1,1,0
x93,1,1,1,0,0
x95,1,1,1,1,1
x97,1,0,1,0,1
x98,1,0,1,0,1
x99,1,1,1,1,1
x103,1,0,1,0,0
x105,1,1,1,0,1
x106,1,0,1,0,0
x110,1,1,1,0,1
x111,1,0,1,1,0
x115,1,0,1,0,0
x119,1,0,1,0,0
x123,1,0,1,1,0
x124,1,0,1,0,0
x126,1,1,0,1,0
x127,1,1,1,1,1
x131,1,1,1,1,0
x133,1,1,1,1,1
x137,1,1,1,1,1
x138,1,0,1,0,1
x140,1,1,1,1,1
x141,1,1,1,0,1
x143,1,1,0,1,0
x145,1,1,0,1,0
x147,1,1,1,1,1
x149,1,1,1,1,0
x150,1,0,1,1,0
x151,1,0,1,0,1
x152,1,1,1,1,0
x153,1,1,0,1,0
x154,1,0,1,0,1
x155,1,0,1,0,0
x156,1,1,1,0,1
x157,1,0,1,0,0
x159,1,0,1,0,1
x163,1,0,0,1,0
x164,1,1,1,1,0
x165,1,1,1,1,1
x169,1,1,1,1,0
x171,1,1,1,1,1
x172,1,1,1,1,1
x173,1,0,1,1,0
x176,1,0,1,0,0
x179,1,1,1,1,1
x180,1,1,1,1,1
x182,1,1,1,1,1
x185,1,0,0,1,0
x186,1,1,1,1,1
x188,1,0,1,0,0
x191,1,0,0,0,1
x192,1,0,1,0,0
x193,1,1,0,0,1
x194,1,1,1,1,0
x195,1,1,1,1,0
x196,1,1,0,1,0
x197,1,0,1,0,0
x203,1,0,1,0,0
x204,1,0,1,0,0
x208,1,0,0,0,0
x209,1,1,1,1,1
x211,1,1,1,1,0
x212,1,1,1,0,0
x213,1,1,0,1,1
x216,1,1,1,1,1
x222,1,1,1,0,1
x225,1,0,1,0,0
x231,1,1,1,1,1
x232,1,0,0,0,0
x234,1,0,0,1,1
x238,1,0,1,0,0
x241,1,0,0,0,0
x244,1,1,1,1,1
x245,1,1,0,1,1
x248,1,1,0,0,1
x251,1,0,1,0,0
x254,1,0,1,0,0
x257,1,0,1,0,0
x259,1,1,0,1,1
x260,1,0,0,0,1
x263,1,1,0,1,0
x266,1,0,0,0,0
x268,1,1,1,0,1
x269,1,0,1,0,0
x276,1,0,1,0,1
x278,1,1,1,1,0
x279,1,0,0,0,0
x280,1,0,0,0,0
x285,1,0,0,0,1
x286,1,1,0,1,1
x290,1,0,1,1,0
x292,1,0,1,1,0
x293,1,1,0,1,0
x297,1,1,0,1,1
x299,1,1,1,0,1
x300,1,1,1,1,1
x303,1,1,1,1,0
x305,1,0,1,0,0
x306,1,0,1,0,0
x307,1,1,0,0,1
x308,1,1,1,1,1
x312,1,0,0,0,0
x316,1,1,1,1,1
x317,1,0,1,0,0
x318,1,1,1,1,1
x321,1,1,1,1,1
x322,1,0,0,0,1
x323,1,0,1,0,1
x324,1,1,0,1,1
x325,1,0,0,0,1
x327,1,1,0,1,1
x328,1,1,1,1,1
x329,1,1,1,0,0
x330,1,0,1,1,0
x331,1,0,0,0,1
x332,1,0,1,0,0
x338,1,1,1,1,1
x340,1,0,1,1,0
x341,1,0,1,1,0
x345,1,0,1,1,1
x346,1,0,1,1,1
x347,1,1,1,1,1
x348,1,1,1,0,1
x349,1,1,1,1,0
x351,1,0,0,0,0
x353,1,1,1,0,1
x354,1,0,1,1,1
x356,1,0,1,0,0
x359,1,1,0,1,1
x363,1,0,1,0,1
x365,1,0,1,1,1
x368,1,1,1,1,1
x374,1,1,1,1,0
x376,1,0,1,0,0
x377,1,1,1,1,0
x379,1,1,1,1,1
x380,1,0,0,1,1
x381,1,1,0,1,0
x382,1,1,1,1,1
x385,1,1,1,1,0
x386,1,0,1,0,0
x387,1,0,0,0,1
x388,1,1,1,1,1
x392,1,1,1,0,0
x395,1,1,1,0,1
x396,1,1,1,1,0
x397,1,1,1,1,1
x398,1,1,1,0,1
x400,1,0,1,0,0
x402,1,0,1,0,1
x404,1,1,1,1,0
x405,1,0,1,0,1
x407,1,1,1,1,1
x410,1,0,0,0,0
x413,1,1,1,1,0
x414,1,1,1,1,1
x415,1,1,1,1,0
x420,1,0,1,0,1
x421,1,1,1,0,1
x424,1,0,0,0,0
x425,1,0,1,0,1
x426,1,1,1,1,0
x427,1,0,1,0,0
x429,1,1,1,1,1
x431,1,0,0,1,0
x440,1,0,0,0,1
x441,1,0,0,0,1
x445,1,0,0,0,1
x447,1,1,1,1,1
x453,1,0,1,0,1
x454,1,0,1,0,1
x455,1,0,1,1,1
x456,1,0,0,0,1
x457,1,1,0,1,0
x459,1,1,1,0,1
x460,1,1,1,1,0
x461,1,0,0,0,1
x465,1,0,1,0,0
x466,1,1,1,1,0
x467,1,0,0,1,0
x468,1,1,1,1,1
x476,1,1,1,1,0
x477,1,1,1,0,1
x483,1,0,0,0,1
x485,1,0,1,0,0
x488,1,0,1,0,1
x489,1,0,0,0,1
x490,1,1,1,1,0
x491,1,0,1,0,0
x492,1,0,1,0,1
x494,1,1,1,1,1
x496,1,1,0,1,0
x497,1,0,1,0,0
x498,1,0,1,0,0
x501,1,0,0,0,1
x506,1,1,1,1,1
x507,1,0,0,0,0
x509,1,0,0,1,1
x510,1,1,0,1,1
x512,1,1,1,0,0
x513,1,1,1,1,1
x514,1,1,1,0,1
x515,1,1,1,1,1
x518,1,1,1,0,1
x520,1,1,1,1,1
x521,1,0,0,0,0
x523,1,1,0,0,1
x525,1,1,1,1,1
x526,1,1,1,1,1
x530,1,0,0,0,0
x534,1,1,1,1,1
x535,1,0,1,0,1
x536,1,1,1,1,0
x538,1,1,1,0,1
x539,1,0,1,0,1
x540,1,1,1,1,1
x543,1,1,1,1,1
x544,1,0,0,0,0
x545,1,1,1,1,1
x546,1,1,1,1,1
x549,1,1,1,1,0
x550,1,0,1,1,0
x551,1,0,0,0,0
x554,1,1,0,1,0
x555,1,0,1,0,0
x556,1,1,1,1,1
x559,1,1,1,1,1
x560,1,1,1,1,0
x562,1,1,1,1,1
x565,1,0,1,0,0
x567,1,1,1,1,0
x568,1,0,1,0,0
x570,1,1,1,1,1
x572,1,1,0,1,0
x576,1,0,1,0,0
x577,1,0,1,0,1
x583,1,1,1,1,0
x584,1,1,1,1,1
x586,1,1,0,1,1
x589,1,0,1,0,0
x592,1,1,0,1,0
x594,1,0,0,0,1
x595,1,0,0,0,1
x596,1,1,1,0,1
x597,1,0,0,0,1
x598,1,1,0,1,1
