,t1,fp1,fp3,fp2,init
x265,0,1,1,1,0
x266,0,0,1,1,0
x269,0,1,1,1,0
x270,0,0,0,0,0
x272,0,0,0,0,1
x273,0,0,1,1,1
x274,0,0,0,0,1
x276,0,1,0,0,0
x280,0,1,0,0,0
x281,0,1,1,1,0
x282,0,1,1,1,1
x283,0,0,0,0,1
x284,0,1,1,1,1
x285,0,1,1,1,1
x286,0,0,1,1,0
x287,0,1,1,1,0
x293,0,0,0,0,1
x294,0,0,1,1,1
x296,0,0,0,0,0
x297,0,1,1,0,0
x298,0,1,1,1,0
x300,0,1,1,0,0
x302,0,0,0,0,1
x305,0,1,1,1,1
x307,0,0,1,1,1
x308,0,1,1,1,1
x309,0,1,0,0,0
x310,0,0,1,1,1
x315,0,0,1,1,1
x317,0,1,0,0,1
x320,0,0,1,1,1
x321,0,1,0,0,1
x322,0,0,0,0,1
x325,0,0,0,0,0
x327,0,1,0,0,0
x328,0,0,1,1,0
x329,0,1,1,1,1
x330,0,0,0,0,1
x335,0,1,0,0,0
x339,0,0,1,1,1
x340,0,1,0,0,0
x343,0,0,1,1,1
x345,0,1,0,0,0
x347,0,1,1,1,1
x348,0,1,1,1,1
x349,0,1,0,0,1
x350,0,1,0,0,0
x352,0,1,1,1,1
x353,0,1,1,1,1
x354,0,1,0,0,0
x355,0,1,0,0,1
x356,0,1,1,1,0
x357,0,0,1,1,0
x358,0,0,0,0,0
x359,0,1,1,1,1
x360,0,1,1,1,0
x363,0,0,1,1,1
x369,0,1,0,0,0
x371,0,1,1,1,0
x376,0,0,1,1,1
x377,0,0,0,0,1
x379,0,1,1,1,0
x380,0,0,1,1,0
x381,0,1,0,0,1
x384,0,0,0,0,1
x386,0,0,0,0,1
x390,0,1,1,1,1
x392,0,1,1,1,1
x393,0,1,0,0,0
x395,0,1,1,0,0
x397,0,1,1,1,1
x398,0,0,0,0,1
x399,0,1,0,0,0
x401,0,1,1,1,0
x404,0,1,1,1,1
x405,0,1,0,0,1
x406,0,0,0,1,1
x408,0,0,0,0,1
x409,0,1,0,0,0
x416,0,0,1,1,0
x418,0,0,1,1,0
x419,0,0,0,0,0
x420,0,1,1,1,1
x421,0,0,1,1,1
x422,0,0,0,0,1
x423,0,1,0,0,1
x425,0,1,1,1,0
x426,0,1,1,1,1
x432,0,0,0,0,0
x433,0,0,0,0,1
x437,0,0,1,1,1
x439,0,0,0,0,0
x442,0,0,0,0,1
x445,0,0,1,1,0
x446,0,0,1,1,1
x448,0,0,1,0,1
x450,0,1,0,0,0
x451,0,0,1,1,0
x453,0,1,1,1,1
x454,0,0,1,1,1
x456,0,1,1,1,0
x457,0,1,1,1,1
x460,0,0,0,0,1
x463,0,0,0,0,0
x468,0,0,0,0,0
x469,0,1,1,1,1
x470,0,0,1,1,0
x471,0,0,1,1,1
x472,0,1,0,0,0
x473,0,0,0,0,0
x476,0,1,1,1,0
x477,0,1,1,1,1
x478,0,0,1,1,1
x479,0,0,1,1,1
x481,0,1,1,1,1
x482,0,1,1,1,1
x483,0,0,0,0,1
x484,0,0,0,0,1
x486,0,1,0,0,0
x487,0,0,1,1,0
x489,0,1,0,0,0
x490,0,1,1,1,1
x491,0,1,0,0,1
x495,0,0,1,1,1
x498,0,1,0,0,1
x502,0,1,0,0,0
x504,0,0,1,1,1
x505,0,0,0,0,1
x506,0,0,1,0,1
x510,0,1,1,1,1
x511,0,0,0,0,0
x512,0,1,0,0,1
x513,0,0,0,0,1
x515,0,1,1,1,0
x516,0,1,0,0,1
x517,0,0,1,1,1
x519,0,0,0,0,0
x523,0,1,1,1,0
x524,0,1,1,0,0
x525,0,0,0,0,0
x527,0,1,1,1,1
x529,0,1,1,1,1
x531,0,0,1,1,1
x532,0,1,1,1,0
x534,0,1,1,1,0
x542,0,1,1,0,0
x543,0,1,0,0,0
x544,0,1,0,0,0
x546,0,0,0,0,0
x547,0,1,1,1,0
x549,0,0,1,1,1
x552,0,0,1,1,0
x553,0,0,1,1,1
x554,0,1,0,0,0
x555,0,1,0,0,1
x558,0,1,0,0,0
x561,0,0,1,1,0
x563,0,0,1,1,0
x564,0,1,1,1,0
x567,0,0,0,0,0
x568,0,1,1,1,0
x569,0,0,0,0,0
x575,0,1,1,1,0
x576,0,0,0,0,1
x579,0,0,0,0,0
x580,0,0,1,1,1
x582,0,0,0,0,0
x583,0,1,1,1,1
x585,0,0,0,0,1
x586,0,0,0,0,1
x588,0,1,0,0,0
x590,0,0,1,1,1
x591,0,1,1,1,1
x596,0,0,0,0,1
x599,0,0,0,0,0
x602,0,1,0,0,0
x603,0,0,1,1,0
x604,0,0,0,0,1
x608,0,0,1,1,1
x609,0,0,1,1,0
x610,0,1,1,1,0
x613,0,1,1,1,0
x616,0,0,0,0,0
x617,0,0,1,1,0
x618,0,1,1,1,1
x620,0,1,0,0,1
x621,0,0,0,0,1
x622,0,0,0,0,0
x623,0,0,0,0,0
x624,0,0,1,1,0
x625,0,1,1,1,0
x627,0,0,0,0,0
x628,0,1,0,0,0
x629,0,1,0,0,1
x630,0,0,1,1,1
x633,0,0,0,0,1
x634,0,0,0,0,0
x635,0,0,0,0,1
x638,0,1,1,0,1
x639,0,0,0,1,1
x640,0,0,0,0,1
x641,0,1,0,0,1
x642,0,0,1,1,0
x643,0,1,1,1,1
x644,0,0,1,1,0
x645,0,1,0,0,0
x646,0,0,0,0,1
x648,0,1,1,1,0
x649,0,1,1,1,0
x650,0,0,1,1,0
x655,0,0,0,0,0
x660,0,0,0,0,1
x661,0,1,0,0,0
x663,0,0,1,1,0
x667,0,0,0,0,1
x668,0,0,1,1,1
x669,0,0,1,1,1
x671,0,1,1,1,1
x672,0,0,0,0,1
x673,0,0,0,1,1
x674,0,0,0,0,1
x675,0,0,1,1,0
x676,0,0,1,1,1
x677,0,1,0,0,0
x678,0,1,1,0,0
x679,0,1,1,1,0
x680,0,0,1,1,0
x681,0,0,1,1,1
x682,0,1,0,0,0
x683,0,0,0,1,1
x687,0,1,0,0,1
x688,0,1,0,0,1
x689,0,0,1,1,1
x690,0,0,0,0,0
x691,0,0,0,0,0
x699,0,0,1,1,0
x701,0,0,0,1,0
x704,0,0,0,0,0
x705,0,0,1,1,1
x707,0,0,0,1,0
x708,0,0,0,0,1
x709,0,1,1,1,1
x711,0,1,0,0,1
x712,0,0,1,1,1
x716,0,1,0,0,1
x718,0,0,1,1,0
x720,0,1,1,1,1
x721,0,0,1,1,0
x722,0,0,1,1,0
x724,0,0,1,1,1
x725,0,0,1,1,1
x727,0,1,1,0,1
x728,0,0,0,0,1
x729,0,1,0,0,0
x730,0,1,0,0,0
x731,0,0,1,1,0
x732,0,1,1,1,0
x734,0,1,1,1,1
x736,0,1,1,1,0
x737,0,1,1,1,1
x739,0,0,0,0,1
x742,0,0,1,1,1
x744,0,1,1,1,0
x745,0,0,0,0,1
x746,0,0,0,0,1
x749,0,0,1,1,0
x750,0,0,0,0,0
x751,0,0,1,1,0
x754,0,0,0,1,1
x758,0,0,1,1,1
x764,0,0,1,1,1
x766,0,0,0,0,1
x767,0,1,1,1,1
x768,0,0,1,1,0
x769,0,1,0,0,0
x770,0,0,1,1,1
x772,0,1,1,0,0
x774,0,0,1,1,1
x775,0,0,0,0,1
x776,0,1,0,0,1
x779,0,1,0,0,0
x780,0,0,1,1,0
x781,0,0,1,1,0
x783,0,0,0,0,1
x785,0,0,1,1,1
x786,0,1,1,1,1
x789,0,0,0,0,1
x790,0,1,1,1,0
x791,0,0,1,1,0
x793,0,0,1,1,0
x794,0,0,1,1,0
x796,0,0,0,0,0
x797,0,1,0,0,1
x800,0,0,0,0,0
x801,0,0,1,1,1
x802,0,0,1,1,1
x806,0,0,0,0,1
x807,0,0,1,1,1
x808,0,1,0,1,1
x811,0,1,0,0,0
x812,0,1,0,0,1
x816,0,0,1,1,0
x819,0,1,1,1,1
x820,0,0,0,1,0
x825,0,1,1,1,0
x826,0,1,1,1,1
x827,0,1,1,1,0
x828,0,0,1,1,0
x830,0,0,1,1,0
x831,0,1,0,0,0
x836,0,0,1,1,1
x837,0,1,0,0,0
x838,0,1,0,0,1
x839,0,0,1,1,1
x841,0,1,0,0,1
x843,0,0,1,1,1
x846,0,1,0,0,1
x847,0,1,1,1,0
x849,0,0,0,0,1
x850,0,0,1,1,1
x852,0,1,0,0,0
x854,0,0,0,0,1
x857,0,0,1,1,0
x859,0,0,1,1,0
x861,0,0,1,1,0
x863,0,0,0,0,1
x865,0,0,0,0,0
x866,0,1,1,1,0
x867,0,1,1,1,0
x869,0,1,0,0,1
x870,0,0,1,1,1
x871,0,0,1,1,1
x873,0,1,0,0,1
x876,0,0,0,0,0
x877,0,1,0,0,0
x878,0,1,0,0,1
x880,0,0,1,1,0
x881,0,0,1,1,0
x883,0,1,0,0,0
x885,0,1,1,1,1
x887,0,0,0,1,0
x890,0,1,0,0,0
x892,0,1,0,0,1
x893,0,0,0,0,1
x895,0,1,1,1,1
x896,0,1,1,1,1
x898,0,1,1,1,1
x0,1,0,0,0,0
x1,1,1,0,0,0
x2,1,0,1,1,0
x3,1,1,1,1,0
x4,1,1,0,0,0
x6,1,0,1,1,1
x7,1,0,0,0,0
x14,1,1,0,0,0
x15,1,0,0,0,1
x17,1,1,1,1,1
x24,1,1,1,1,0
x26,1,0,1,1,0
x27,1,0,0,0,0
x29,1,1,1,0,1
x30,1,0,0,0,1
x33,1,0,0,0,1
x35,1,0,1,1,0
x36,1,1,0,0,1
x39,1,0,1,1,0
x40,1,1,0,0,1
x42,1,0,1,1,1
x43,1,1,1,1,1
x45,1,1,0,0,1
x47,1,1,1,1,0
x48,1,1,0,0,0
x50,1,0,1,1,1
x52,1,0,1,1,1
x53,1,0,0,0,1
x54,1,1,1,1,0
x55,1,1,1,1,1
x58,1,0,0,0,1
x62,1,1,1,1,0
x63,1,0,0,0,0
x65,1,1,0,0,1
x66,1,0,0,0,0
x68,1,1,0,0,1
x69,1,1,0,0,0
x72,1,1,1,1,1
x73,1,0,1,1,1
x75,1,0,1,1,1
x78,1,1,1,1,1
x79,1,1,1,0,1
x84,1,1,0,0,0
x86,1,1,0,0,0
x87,1,1,1,1,1
x90,1,1,1,1,0
x93,1,1,1,1,1
x95,1,0,0,1,0
x96,1,1,0,0,1
x97,1,1,0,0,0
x99,1,1,1,1,0
x100,1,1,0,0,0
x103,1,0,0,0,0
x105,1,1,1,1,1
x108,1,1,1,1,0
x109,1,1,0,0,1
x110,1,1,0,0,0
x114,1,1,0,0,1
x115,1,0,1,1,0
x117,1,1,1,1,1
x118,1,1,1,1,0
x119,1,1,1,1,0
x120,1,1,0,0,1
x121,1,0,1,1,1
x123,1,0,1,1,0
x124,1,0,1,1,0
x125,1,1,0,0,1
x126,1,0,1,1,0
x129,1,1,1,1,0
x132,1,0,1,1,1
x135,1,0,0,0,0
x136,1,0,1,1,0
x138,1,1,1,1,1
x140,1,0,0,1,0
x141,1,1,0,0,1
x142,1,0,0,0,1
x143,1,1,1,0,0
x144,1,0,1,1,0
x145,1,1,1,1,1
x147,1,1,0,0,1
x150,1,1,1,0,0
x151,1,1,0,0,1
x156,1,1,1,1,0
x157,1,1,1,1,1
x159,1,1,0,0,1
x161,1,0,0,0,0
x163,1,1,1,0,0
x165,1,1,0,0,0
x166,1,1,0,0,1
x167,1,1,1,1,0
x171,1,0,0,0,1
x172,1,1,1,1,1
x174,1,0,0,0,0
x176,1,0,1,1,1
x177,1,1,1,0,1
x179,1,1,1,1,0
x180,1,0,1,1,1
x182,1,0,0,0,1
x185,1,1,0,0,1
x186,1,0,0,0,1
x190,1,0,1,1,0
x191,1,1,0,0,0
x192,1,0,0,0,0
x194,1,1,0,0,1
x195,1,1,0,0,0
x196,1,1,1,1,1
x201,1,1,0,0,0
x206,1,1,0,0,1
x208,1,0,0,0,1
x209,1,1,1,1,1
x211,1,0,0,0,1
x217,1,1,0,0,1
x219,1,0,1,1,0
x222,1,0,1,1,0
x225,1,0,0,0,1
x234,1,1,0,0,1
x235,1,0,1,1,1
x239,1,0,0,0,0
x240,1,1,0,0,0
x241,1,1,0,0,0
x242,1,0,1,1,0
x244,1,0,0,0,1
x245,1,1,1,1,0
x247,1,0,0,0,0
x248,1,0,1,1,0
x249,1,0,0,0,1
x250,1,1,1,1,0
x251,1,1,1,1,0
x253,1,0,0,0,1
x256,1,0,0,0,0
x259,1,1,1,1,0
x260,1,0,1,1,0
x261,1,0,1,1,0
x262,1,1,1,1,1
x267,1,1,1,1,1
x268,1,1,0,0,1
x271,1,1,0,0,0
x275,1,1,0,0,0
x277,1,1,1,1,0
x278,1,0,0,0,1
x279,1,1,1,1,1
x288,1,1,0,0,0
x289,1,0,0,0,1
x290,1,1,1,1,1
x291,1,0,0,0,1
x292,1,0,0,0,1
x295,1,1,1,1,0
x299,1,1,0,0,0
x301,1,0,0,0,0
x303,1,1,0,0,1
x304,1,1,1,1,1
x306,1,0,0,0,0
x311,1,1,1,1,0
x312,1,1,1,1,1
x313,1,1,0,0,1
x314,1,0,1,1,1
x316,1,0,1,1,1
x318,1,1,1,1,0
x319,1,0,0,0,1
x323,1,0,0,0,1
x324,1,1,0,0,0
x326,1,1,1,1,0
x331,1,1,1,1,1
x332,1,0,1,1,0
x333,1,1,1,0,1
x334,1,0,0,0,0
x336,1,1,1,0,1
x337,1,0,1,1,0
x338,1,0,1,1,1
x341,1,1,1,1,1
x342,1,0,0,0,1
x344,1,1,1,1,0
x346,1,1,1,1,1
x351,1,0,1,1,1
x361,1,1,1,1,0
x362,1,0,1,1,0
x364,1,1,0,0,0
x365,1,0,1,1,0
x366,1,0,1,1,0
x367,1,1,0,0,1
x368,1,0,1,1,0
x370,1,1,0,0,1
x372,1,1,0,0,0
x373,1,1,0,0,1
x374,1,1,1,1,0
x375,1,1,0,0,1
x378,1,1,1,1,0
x382,1,1,0,0,0
x383,1,1,1,0,0
x385,1,1,0,0,1
x387,1,1,1,1,0
x388,1,1,1,1,1
x389,1,1,1,1,1
x391,1,1,0,0,0
x394,1,1,0,0,0
x396,1,0,0,1,0
x400,1,0,1,1,0
x402,1,1,0,0,1
x403,1,1,1,0,1
x407,1,1,1,1,1
x410,1,0,1,1,1
x411,1,1,1,1,0
x412,1,0,1,1,1
x413,1,0,0,0,0
x414,1,1,1,1,1
x415,1,0,1,1,0
x417,1,1,1,1,1
x424,1,1,1,1,0
x427,1,1,0,0,0
x428,1,1,1,1,0
x429,1,1,1,1,1
x430,1,1,0,0,1
x431,1,1,1,1,1
x434,1,0,0,0,0
x435,1,0,1,1,1
x436,1,0,1,1,1
x438,1,0,1,1,1
x440,1,0,0,0,1
x441,1,1,1,1,0
x443,1,1,1,1,1
x444,1,1,1,1,1
x447,1,1,1,1,1
x449,1,1,0,0,1
x452,1,0,0,1,1
x455,1,1,1,1,0
x458,1,1,0,0,0
x459,1,0,1,1,0
x461,1,1,0,0,1
x462,1,1,1,1,0
x464,1,1,1,1,1
x465,1,0,0,0,0
x466,1,0,0,0,0
x467,1,0,0,0,0
x474,1,0,1,1,1
x475,1,0,0,0,1
x480,1,1,0,0,0
x485,1,1,0,0,0
x488,1,1,1,1,1
x492,1,1,0,0,0
x493,1,1,0,0,1
x494,1,1,1,1,0
x496,1,1,1,1,1
x497,1,1,1,1,1
x499,1,0,0,0,0
x500,1,1,1,1,1
x501,1,0,1,1,0
x503,1,0,1,1,1
x507,1,1,1,1,0
x508,1,1,1,1,1
x509,1,1,0,0,1
x514,1,1,0,0,1
x518,1,0,1,1,1
x520,1,1,1,1,0
x521,1,1,0,1,1
x522,1,1,1,0,1
x526,1,0,1,1,0
x528,1,0,0,0,0
x530,1,1,1,1,0
x533,1,0,1,1,1
x535,1,1,0,0,0
x536,1,1,0,0,1
x537,1,1,0,1,0
x538,1,1,0,0,1
x539,1,1,0,0,0
x540,1,0,0,0,1
x541,1,1,1,1,0
x545,1,1,0,0,1
x548,1,0,1,1,1
x550,1,0,0,0,0
x551,1,1,1,1,1
x556,1,1,1,1,1
x557,1,0,0,0,1
x559,1,0,1,1,0
x560,1,1,0,1,1
x562,1,1,1,1,0
x565,1,0,1,1,1
x566,1,0,1,0,1
x570,1,1,1,1,0
x571,1,0,0,0,0
x572,1,1,1,1,1
x573,1,1,0,0,0
x574,1,1,1,1,1
x577,1,1,1,1,0
x578,1,0,1,1,1
x581,1,1,1,1,1
x584,1,1,1,1,0
x587,1,1,0,0,0
x589,1,1,1,1,1
x592,1,1,1,0,1
x593,1,1,1,1,0
x594,1,0,1,1,0
x595,1,0,0,0,1
x597,1,0,1,1,0
x598,1,0,1,1,1
x600,1,1,1,0,0
x601,1,1,1,1,0
x605,1,1,0,0,0
x606,1,1,1,1,1
x607,1,1,1,1,0
x611,1,1,0,0,0
x612,1,1,0,0,1
x614,1,1,0,0,1
x615,1,0,1,1,1
x619,1,0,0,0,0
x626,1,0,0,0,1
x631,1,1,0,0,1
x632,1,1,0,0,0
x636,1,0,0,0,0
x637,1,1,1,1,0
x647,1,1,1,1,0
x651,1,1,1,1,0
x652,1,1,1,1,0
x653,1,1,1,1,0
x654,1,0,1,1,1
x656,1,0,0,0,0
x657,1,1,0,0,1
x658,1,1,0,0,0
x659,1,1,1,1,1
x662,1,0,1,1,0
x664,1,1,0,0,0
x665,1,0,1,1,1
x666,1,1,1,0,1
x670,1,0,1,1,1
x684,1,1,0,0,0
x685,1,1,1,1,0
x686,1,0,0,0,0
x692,1,0,0,0,1
x693,1,0,1,1,0
x694,1,1,1,0,1
x695,1,0,1,1,0
x696,1,1,1,1,0
x697,1,1,1,0,0
x698,1,0,1,1,0
x700,1,0,0,0,0
x702,1,0,1,1,0
x703,1,1,0,0,1
x706,1,0,0,0,1
x710,1,1,0,0,0
x713,1,0,1,1,1
x714,1,0,1,1,1
x715,1,1,0,0,0
x717,1,1,1,1,1
x719,1,1,0,0,1
x723,1,1,0,0,0
x726,1,0,1,1,1
x733,1,0,0,0,0
x735,1,0,1,1,1
x738,1,0,1,1,1
x740,1,1,1,0,0
x741,1,1,1,1,1
x743,1,0,1,1,0
x747,1,0,0,0,0
x748,1,0,1,1,0
x752,1,0,1,1,1
x753,1,0,1,1,0
x755,1,0,0,0,0
x756,1,1,0,0,1
x757,1,0,0,0,0
x759,1,0,1,1,0
x760,1,0,1,1,0
x761,1,0,1,1,1
x762,1,0,0,0,0
x763,1,1,1,1,0
x765,1,1,1,1,1
x771,1,1,0,0,0
x773,1,1,1,1,0
x777,1,1,0,0,0
x778,1,1,1,1,1
x782,1,1,0,0,0
x784,1,1,0,0,0
x787,1,1,0,0,0
x788,1,1,1,1,0
x792,1,1,1,1,0
x795,1,0,0,0,1
x798,1,1,1,1,0
x799,1,0,0,0,1
x803,1,0,0,0,1
x804,1,1,1,1,0
x805,1,0,1,1,0
x809,1,1,0,0,0
x810,1,0,1,1,0
x813,1,1,1,1,0
x814,1,0,0,0,0
x815,1,1,1,1,0
x817,1,0,1,1,0
x818,1,1,1,1,1
x821,1,0,0,0,0
x822,1,1,1,1,1
x823,1,0,0,0,0
x824,1,0,0,0,0
x829,1,1,0,0,0
x832,1,1,1,1,0
x833,1,1,1,0,1
x834,1,1,0,0,0
x835,1,1,1,1,0
x840,1,1,1,1,1
x842,1,1,0,0,1
x844,1,1,1,1,1
x845,1,0,1,1,0
x848,1,1,0,0,1
x851,1,1,0,0,0
x853,1,1,0,0,0
x855,1,1,1,1,0
x856,1,1,1,1,1
x858,1,1,0,0,0
x860,1,1,1,1,0
x862,1,1,1,1,0
x864,1,0,1,1,0
x868,1,1,1,1,0
x872,1,1,0,1,0
x874,1,1,1,1,0
x875,1,1,0,0,0
x879,1,0,0,0,1
x882,1,0,0,0,1
x884,1,0,1,1,1
x886,1,1,1,1,1
x888,1,1,1,1,0
x889,1,1,1,1,0
x891,1,0,0,0,0
x894,1,0,1,1,1
x897,1,0,1,1,1
x899,1,1,1,0,0
