,fp1,fp2,fp3,t1,init
x352,1,1,1,1,1
x353,1,1,1,1,0
x356,1,1,1,0,0
x357,1,1,1,1,1
x358,1,1,1,1,1
x359,1,1,1,1,1
x362,1,1,1,0,0
x363,1,1,1,1,1
x364,1,1,1,0,0
x367,1,0,1,1,1
x368,1,1,1,1,1
x370,1,1,1,1,1
x371,1,0,0,0,0
x372,1,1,1,0,1
x373,1,1,1,1,1
x374,1,1,1,1,1
x376,1,0,1,0,0
x377,1,1,1,0,1
x378,1,0,0,1,1
x382,1,0,1,0,0
x383,1,1,1,1,1
x384,1,1,1,0,0
x385,1,1,1,1,1
x387,1,1,1,1,1
x389,1,1,0,1,0
x390,1,1,1,1,0
x391,1,1,1,1,1
x393,1,0,1,0,1
x396,1,0,0,1,0
x397,1,0,0,0,1
x399,1,0,1,1,0
x401,1,1,1,0,1
x403,1,1,1,1,1
x407,1,1,1,1,0
x408,1,1,1,1,1
x410,1,0,0,0,0
x411,1,1,1,1,1
x412,1,1,0,0,0
x413,1,0,0,1,1
x414,1,1,1,0,1
x416,1,1,1,1,1
x417,1,1,1,1,1
x418,1,1,1,0,0
x419,1,1,1,1,0
x420,1,0,0,1,0
x423,1,1,1,0,1
x425,1,1,1,0,1
x426,1,1,1,0,0
x427,1,1,1,1,1
x429,1,1,1,0,1
x430,1,1,1,0,0
x431,1,1,1,1,1
x432,1,0,0,0,0
x435,1,1,1,1,1
x436,1,1,1,0,0
x437,1,1,1,1,1
x441,1,1,1,1,0
x445,1,1,1,0,1
x450,1,0,0,1,1
x452,1,0,1,1,1
x454,1,1,1,1,1
x455,1,0,1,0,1
x459,1,0,0,1,0
x460,1,0,1,0,0
x461,1,1,1,1,1
x463,1,1,1,1,0
x465,1,1,1,0,0
x467,1,0,0,0,1
x469,1,1,1,1,1
x475,1,1,1,1,1
x476,1,1,1,1,0
x477,1,0,0,0,1
x478,1,1,1,1,1
x479,1,0,0,0,1
x480,1,1,1,0,1
x481,1,0,1,1,1
x486,1,0,0,0,0
x487,1,1,1,1,1
x488,1,1,1,0,0
x489,1,1,1,1,1
x490,1,0,0,1,0
x491,1,0,1,1,1
x492,1,1,1,1,0
x493,1,0,1,0,0
x495,1,1,1,1,1
x498,1,1,0,1,1
x499,1,1,1,1,1
x500,1,0,0,0,1
x501,1,1,1,0,0
x502,1,0,0,0,1
x503,1,1,1,1,1
x507,1,1,1,0,0
x509,1,1,1,1,1
x510,1,1,1,1,1
x511,1,1,1,1,1
