,init,fp2,fp1,fp3,t1
x518,0,0,0,0,0
x524,0,0,0,0,0
x527,0,0,0,0,0
x528,0,0,0,0,1
x532,0,0,0,1,0
x535,0,1,1,1,0
x537,0,1,1,1,0
x543,0,0,0,0,0
x545,0,1,1,0,0
x546,0,1,1,0,0
x547,0,1,1,1,0
x552,0,1,1,1,0
x553,0,0,0,0,1
x554,0,1,1,0,1
x556,0,1,1,1,0
x558,0,1,1,1,1
x559,0,0,0,0,1
x560,0,1,1,1,0
x562,0,0,0,0,0
x564,0,0,0,1,0
x565,0,0,0,1,0
x566,0,1,1,0,0
x570,0,0,0,0,1
x572,0,1,1,0,0
x573,0,0,0,0,1
x576,0,0,0,1,0
x577,0,1,1,0,0
x578,0,1,1,0,0
x579,0,1,1,0,0
x581,0,0,0,0,1
x585,0,0,0,0,1
x586,0,0,0,0,0
x587,0,0,0,0,0
x588,0,0,0,1,0
x593,0,0,0,0,0
x594,0,1,1,0,0
x597,0,0,0,1,0
x8,1,0,0,1,1
x9,1,0,0,0,1
x11,1,1,1,1,0
x12,1,1,1,1,1
x14,1,0,0,0,1
x15,1,0,0,0,0
x18,1,0,0,0,1
x19,1,0,1,0,0
x20,1,1,1,0,1
x21,1,0,0,1,1
x22,1,1,1,0,0
x24,1,1,1,1,1
x27,1,1,1,1,1
x28,1,0,0,1,1
x29,1,0,0,0,1
x34,1,0,0,1,0
x35,1,1,1,1,1
x36,1,0,0,0,1
x37,1,1,1,1,0
x38,1,1,1,0,0
x41,1,0,0,0,0
x42,1,1,1,1,1
x54,1,1,1,1,1
x55,1,0,0,0,1
x60,1,1,1,1,0
x62,1,1,1,0,0
x66,1,1,1,0,1
x68,1,1,1,1,1
x69,1,1,1,1,1
x72,1,0,0,0,0
x74,1,0,0,0,1
x75,1,0,0,0,0
x76,1,0,0,1,0
x77,1,0,0,0,0
x83,1,0,0,0,0
x87,1,1,1,1,0
x94,1,1,1,1,1
x96,1,1,1,1,1
x97,1,0,0,0,0
x101,1,1,1,1,1
x103,1,0,0,0,1
x104,1,0,0,0,1
x105,1,0,0,0,0
x106,1,0,0,1,1
x111,1,1,1,1,1
x112,1,1,1,1,1
x115,1,0,0,0,0
x116,1,1,1,1,1
x120,1,1,1,1,1
x123,1,0,0,1,0
x124,1,0,0,0,0
x125,1,1,1,1,1
x127,1,1,1,1,1
x129,1,0,0,0,1
x130,1,1,1,1,1
x131,1,0,0,1,0
x133,1,1,1,0,0
x134,1,0,0,0,1
x135,1,1,1,1,1
x136,1,0,0,0,1
x137,1,1,1,0,1
x141,1,1,1,1,1
x145,1,1,1,1,1
x146,1,1,1,1,1
x147,1,1,1,1,1
x149,1,0,0,1,1
x153,1,1,1,0,1
x156,1,0,0,0,1
x160,1,1,1,0,1
x161,1,0,0,0,0
x162,1,1,1,0,1
x163,1,0,0,0,1
x164,1,0,0,0,0
x168,1,1,1,0,1
x169,1,1,1,1,1
x171,1,1,1,1,1
x172,1,0,0,0,1
x176,1,1,1,0,0
x177,1,1,1,1,0
x179,1,1,1,0,0
x180,1,1,1,1,0
x184,1,1,1,1,0
x186,1,1,1,1,1
x187,1,0,0,0,1
x188,1,0,0,0,1
x190,1,0,0,0,1
x191,1,0,0,1,1
x192,1,1,1,0,1
x193,1,1,1,1,1
x194,1,1,1,0,0
x195,1,0,0,0,1
x196,1,0,0,1,0
x197,1,0,0,0,0
x198,1,1,1,1,0
x199,1,1,1,1,1
x203,1,0,0,0,0
x204,1,0,1,0,1
x206,1,0,0,0,1
x207,1,0,0,0,0
x208,1,1,1,1,1
x213,1,0,0,0,0
x215,1,0,0,0,1
x218,1,1,1,0,0
x219,1,0,0,0,0
x222,1,0,0,0,1
x223,1,0,0,1,1
x225,1,0,0,0,0
x227,1,0,0,0,1
x228,1,0,0,0,0
x229,1,0,0,1,1
x230,1,0,0,0,1
x232,1,0,0,1,1
x234,1,0,0,1,1
x237,1,0,0,0,0
x239,1,0,0,0,1
x241,1,0,0,1,1
x243,1,1,1,0,1
x249,1,0,0,1,1
x251,1,0,0,0,1
x252,1,0,0,1,1
x253,1,0,0,0,1
x256,1,0,0,0,1
x257,1,1,1,0,1
x258,1,0,0,0,0
x260,1,0,0,1,0
x262,1,0,1,0,1
x265,1,0,0,0,0
x271,1,1,1,1,0
x274,1,1,1,1,1
x275,1,1,1,1,1
x276,1,0,0,0,1
x278,1,0,0,0,1
x279,1,1,1,0,1
x280,1,1,1,1,1
x283,1,1,1,1,1
x284,1,0,0,1,1
x290,1,0,0,0,1
x291,1,1,1,0,0
x292,1,1,1,1,1
x293,1,1,1,0,1
x296,1,1,1,1,1
x297,1,0,0,0,1
x300,1,1,1,1,1
x301,1,1,1,0,0
x305,1,0,0,1,0
x306,1,1,1,1,0
x309,1,0,0,0,1
x310,1,1,1,1,1
x311,1,1,1,1,1
x312,1,1,1,1,1
x313,1,0,0,0,1
x315,1,0,0,1,0
x318,1,0,0,1,1
x319,1,0,0,1,1
x320,1,0,0,1,1
x321,1,0,0,0,1
x324,1,1,1,0,1
x328,1,0,0,1,0
x331,1,1,1,1,1
x334,1,0,0,0,1
x335,1,0,0,0,1
x337,1,1,1,1,1
x338,1,0,0,1,1
x345,1,1,1,1,1
x347,1,0,0,1,1
x351,1,0,0,1,1
x352,1,1,1,1,1
x353,1,0,0,0,1
x354,1,1,1,1,1
x356,1,1,1,1,0
x357,1,0,0,1,1
x359,1,1,1,1,1
x360,1,0,0,1,1
x362,1,0,0,0,1
x364,1,0,0,0,1
x365,1,0,0,1,1
x367,1,1,1,0,0
x368,1,1,1,0,1
x371,1,0,0,1,1
x375,1,1,1,1,1
x377,1,1,1,1,1
x378,1,1,1,1,0
x380,1,1,1,1,0
x381,1,1,1,1,1
x384,1,0,0,0,1
x385,1,1,1,1,1
x386,1,0,0,0,1
x387,1,0,0,0,1
x390,1,1,1,1,1
x392,1,0,0,0,1
x393,1,0,0,1,0
x394,1,0,0,0,1
x396,1,1,1,1,0
x399,1,1,1,1,1
x400,1,1,1,1,1
x404,1,1,1,1,0
x408,1,0,1,0,1
x409,1,0,0,0,0
x411,1,0,0,1,1
x412,1,1,1,1,1
x414,1,1,1,1,0
x415,1,1,1,1,1
x417,1,0,0,1,0
x421,1,0,0,0,1
x422,1,1,1,1,0
x424,1,1,1,1,1
x427,1,1,1,1,0
x430,1,1,1,1,1
x432,1,0,0,0,1
x433,1,1,1,1,1
x435,1,0,0,1,1
x436,1,0,0,0,1
x437,1,1,1,1,1
x438,1,1,1,1,1
x442,1,0,0,1,1
x445,1,1,1,1,0
x449,1,1,1,0,1
x451,1,1,1,1,1
x452,1,1,1,0,1
x453,1,1,1,0,1
x457,1,0,0,1,1
x461,1,0,0,0,0
x463,1,0,0,1,0
x464,1,1,1,1,1
x466,1,1,1,0,0
x467,1,1,1,1,1
x468,1,1,1,1,1
x472,1,0,0,0,1
x473,1,1,1,1,0
x474,1,1,1,0,1
x475,1,0,0,0,1
x478,1,0,0,1,1
x479,1,0,0,0,1
x480,1,0,0,0,1
x481,1,1,1,0,1
x484,1,0,0,1,0
x485,1,0,0,0,1
x486,1,0,0,1,1
x487,1,0,0,1,0
x488,1,1,1,1,1
x489,1,1,1,1,1
x492,1,0,0,0,0
x495,1,1,1,1,0
x496,1,0,0,0,1
x497,1,0,0,1,1
x498,1,0,0,1,1
x499,1,1,1,1,1
x500,1,1,1,1,0
x502,1,1,1,0,1
x506,1,1,1,1,1
x507,1,1,1,1,1
x508,1,1,1,1,0
x511,1,1,1,1,1
x512,1,0,0,0,0
x513,1,0,0,0,0
x515,1,0,1,0,1
x517,1,1,1,1,1
x519,1,1,1,1,0
x520,1,1,1,1,1
x521,1,1,1,1,0
x522,1,0,0,1,1
x523,1,0,0,0,1
x525,1,1,1,0,0
x526,1,1,1,1,1
x529,1,0,0,0,1
x530,1,1,1,0,1
x531,1,1,1,1,1
x533,1,0,0,1,1
x534,1,1,1,1,0
x536,1,0,0,0,1
x538,1,1,1,0,1
x539,1,1,1,1,1
x540,1,0,0,1,1
x541,1,1,1,0,1
x542,1,1,1,1,0
x544,1,0,0,0,1
x548,1,1,1,1,1
x549,1,0,0,0,0
x550,1,1,1,0,0
x551,1,1,1,1,1
x555,1,1,1,0,1
x557,1,1,1,1,1
x561,1,1,1,1,1
x563,1,0,0,0,0
x567,1,1,1,0,1
x568,1,1,1,0,1
x569,1,1,1,0,1
x571,1,0,0,0,0
x574,1,0,0,1,1
x575,1,0,0,0,1
x580,1,1,1,0,1
x582,1,1,1,1,0
x583,1,1,1,1,0
x584,1,1,1,1,1
x589,1,0,0,0,1
x590,1,1,1,1,1
x591,1,1,1,0,0
x592,1,1,1,1,0
x595,1,1,1,1,1
x596,1,1,1,0,1
x598,1,1,1,1,0
x599,1,0,0,1,1
