,fp2,fp3,init,fp1,t1
x174,1,1,1,1,0
x176,1,1,0,0,0
x177,1,1,0,1,1
x178,1,1,1,0,0
x179,1,1,0,0,0
x180,1,1,1,1,1
x181,1,1,0,0,0
x182,1,1,0,1,0
x183,1,1,0,0,0
x185,1,1,1,1,0
x187,1,1,0,0,1
x188,1,1,1,0,0
x190,1,1,0,0,0
x193,1,1,0,1,0
x194,1,1,1,0,0
x198,1,1,0,1,0
x199,1,1,0,1,0
x200,1,1,1,0,1
x201,1,1,1,0,1
x202,1,1,0,0,0
x203,1,1,0,0,1
x204,1,1,1,0,1
x205,1,1,0,0,0
x206,1,1,1,0,0
x207,1,1,0,0,0
x208,1,1,0,1,0
x210,1,1,0,0,0
x211,1,1,1,0,1
x212,1,1,0,0,0
x214,1,1,0,0,0
x220,1,1,0,0,0
x221,1,1,1,1,1
x222,1,1,0,0,0
x223,1,0,0,0,0
x227,1,1,1,0,0
x231,1,1,0,0,0
x233,1,1,1,1,1
x234,1,1,1,1,1
x235,1,1,0,0,0
x239,1,1,1,1,1
x240,1,1,0,1,0
x242,1,1,1,1,1
x243,1,1,0,1,0
x246,1,1,0,0,0
x248,1,1,1,0,0
x250,1,1,0,0,0
x252,1,1,1,0,0
x253,1,1,0,0,0
x255,1,1,0,0,0
x256,1,1,0,0,1
x258,1,1,1,1,1
x259,1,1,1,1,1
x261,1,1,1,0,1
x262,1,1,1,0,0
x263,1,1,1,0,0
x264,1,1,0,1,0
x266,1,1,1,1,1
x267,1,1,1,0,1
x270,1,1,1,0,1
x271,1,1,1,0,0
x272,1,1,0,0,1
x274,1,0,1,0,1
x275,1,1,0,0,0
x276,1,1,0,0,0
x277,1,1,0,0,0
x279,1,1,1,1,1
x284,1,1,1,0,0
x285,1,1,1,0,1
x286,1,1,0,0,0
x289,1,1,0,0,0
x291,1,1,0,0,0
x292,1,1,0,0,0
x293,1,1,0,0,0
x294,1,1,1,0,0
x295,1,1,0,0,1
x298,1,1,1,0,0
