,fp1,init,fp2,t1,fp3
x204,0,0,0,0,0
x206,0,0,0,0,1
x209,0,0,0,1,0
x211,0,1,0,0,0
x216,0,0,0,1,0
x218,0,1,0,1,0
x219,0,1,0,1,0
x220,0,0,0,1,0
x221,0,1,0,0,0
x224,0,0,0,0,0
x227,0,1,0,0,0
x228,0,0,0,0,0
x229,0,0,0,1,0
x230,0,0,0,1,0
x231,0,0,0,0,1
x233,0,1,0,1,0
x235,0,0,0,1,0
x236,0,1,0,1,1
x237,0,0,0,0,0
x238,0,1,0,1,0
x240,0,0,0,1,0
x241,0,1,0,1,0
x244,0,1,0,1,0
x245,0,0,0,0,0
x246,0,0,1,0,1
x248,0,1,0,1,0
x250,0,1,0,1,0
x252,0,0,0,0,0
x253,0,1,0,0,0
x254,0,1,0,0,1
x256,0,0,0,0,0
x257,0,1,0,0,0
x259,0,0,0,1,0
x260,0,0,1,0,1
x265,0,1,0,1,0
x266,0,1,0,0,0
x270,0,0,0,0,0
x271,0,1,0,1,0
x272,0,1,0,0,0
x275,0,0,0,0,0
x276,0,0,0,0,0
x278,0,0,0,0,0
x279,0,0,0,0,1
x280,0,1,0,1,0
x284,0,1,0,1,0
x285,0,0,1,0,1
x291,0,0,0,0,0
x292,0,1,0,0,0
x296,0,1,0,1,0
x297,0,0,0,1,0
x307,0,0,0,0,0
x308,0,0,0,1,0
x314,0,1,0,1,0
x316,0,1,0,1,0
x317,0,0,0,0,0
x319,0,1,0,0,0
x322,0,1,0,1,0
x323,0,1,0,1,0
x325,0,0,0,0,0
x329,0,1,0,1,0
x330,0,0,0,0,0
x335,0,0,0,0,0
x336,0,0,0,0,0
x337,0,1,0,1,0
x338,0,0,0,0,0
x341,0,0,0,1,0
x343,0,0,0,0,1
x344,0,1,0,1,0
x346,0,1,0,1,0
x349,0,0,0,1,0
x350,0,0,0,1,0
x351,0,0,0,0,0
x352,0,0,0,0,0
x353,0,0,0,1,0
x355,0,1,0,0,0
x358,0,0,0,1,0
x363,0,1,0,1,1
x365,0,0,0,0,0
x370,0,1,1,0,1
x371,0,0,0,0,0
x372,0,1,1,1,1
x373,0,0,0,0,0
x374,0,0,0,0,0
x375,0,0,0,0,0
x376,0,0,0,0,0
x377,0,1,0,0,1
x380,0,0,0,0,0
x385,0,0,0,1,0
x386,0,0,0,1,0
x388,0,1,0,1,0
x389,0,0,1,0,1
x391,0,0,0,0,0
x393,0,0,0,0,0
x394,0,0,1,1,1
x396,0,0,0,0,0
x399,0,0,0,0,0
x400,0,0,0,0,0
x402,0,0,0,0,0
x406,0,0,0,0,0
x407,0,0,0,0,0
x410,0,1,0,0,1
x411,0,0,0,0,0
x412,0,0,0,0,1
x414,0,0,0,0,0
x416,0,1,0,1,0
x418,0,0,0,0,0
x420,0,0,0,0,0
x422,0,0,0,0,0
x423,0,0,0,0,0
x426,0,0,0,0,1
x427,0,1,0,1,0
x428,0,1,0,1,0
x429,0,1,0,1,0
x430,0,0,0,0,0
x431,0,0,0,0,0
x432,0,0,0,0,0
x435,0,1,0,1,0
x436,0,0,0,0,0
x438,0,1,0,0,0
x439,0,0,0,0,0
x442,0,1,0,1,0
x444,0,0,0,0,1
x446,0,0,0,0,0
x448,0,0,0,0,0
x449,0,0,0,0,0
x450,0,1,0,0,0
x451,0,1,0,1,0
x452,0,1,0,1,0
x453,0,0,0,0,0
x456,0,1,1,1,1
x457,0,0,0,0,0
x459,0,0,0,0,0
x462,0,0,0,0,0
x464,0,0,1,0,1
x465,0,0,0,0,0
x467,0,1,1,1,1
x468,0,0,0,0,0
x469,0,0,0,0,0
x471,0,1,0,0,0
x473,0,1,0,1,0
x479,0,0,0,1,0
x481,0,1,0,1,0
x483,0,1,0,1,0
x488,0,0,0,1,1
x489,0,0,1,0,1
x490,0,1,0,1,0
x493,0,1,0,0,0
x496,0,1,0,0,0
x497,0,0,0,0,1
x498,0,0,0,0,0
x502,0,0,0,1,0
x506,0,0,0,0,0
x511,0,1,0,1,1
x514,0,0,0,1,0
x515,0,0,0,0,0
x516,0,0,0,1,0
x517,0,1,0,1,0
x518,0,0,0,0,0
x519,0,0,0,0,0
x521,0,0,0,0,0
x522,0,1,0,1,0
x523,0,0,0,0,0
x527,0,1,0,1,0
x529,0,1,0,0,0
x530,0,0,0,0,0
x531,0,1,0,1,1
x532,0,0,1,0,1
x533,0,1,0,1,0
x536,0,0,0,0,0
x538,0,0,1,0,1
x539,0,1,0,1,0
x547,0,0,0,0,0
x552,0,0,0,1,0
x554,0,0,0,0,0
x558,0,0,0,0,0
x559,0,1,0,0,0
x563,0,0,0,1,0
x564,0,1,0,0,0
x565,0,0,0,1,0
x569,0,0,0,0,0
x570,0,0,0,0,0
x571,0,1,0,1,0
x572,0,0,0,0,0
x574,0,0,0,1,0
x577,0,0,0,0,0
x578,0,0,0,0,1
x580,0,0,0,0,0
x583,0,1,0,0,0
x584,0,0,0,0,0
x585,0,0,0,1,1
x586,0,1,0,1,0
x589,0,0,0,1,0
x590,0,1,1,0,1
x592,0,0,0,1,0
x593,0,0,0,0,0
x596,0,0,1,0,1
x597,0,1,1,1,1
x598,0,0,0,1,0
x599,0,0,0,0,0
x1,1,1,1,0,0
x2,1,0,1,1,0
x4,1,0,1,0,1
x5,1,1,1,1,1
x6,1,0,1,0,1
x7,1,1,1,1,0
x8,1,0,1,0,1
x12,1,0,1,0,1
x13,1,0,0,0,0
x19,1,0,1,0,1
x22,1,0,1,0,1
x26,1,1,1,0,1
x28,1,0,0,0,0
x31,1,1,1,0,1
x32,1,1,1,1,1
x33,1,0,1,0,1
x36,1,0,1,0,1
x38,1,1,1,0,1
x40,1,0,1,0,1
x42,1,0,1,0,1
x44,1,1,1,1,1
x46,1,0,1,1,1
x49,1,0,1,1,1
x50,1,1,1,1,1
x53,1,1,1,1,1
x54,1,0,1,0,1
x56,1,0,1,0,1
x59,1,1,0,1,0
x61,1,1,1,1,1
x62,1,0,1,1,1
x64,1,0,1,1,1
x66,1,0,1,0,1
x67,1,1,1,1,1
x68,1,1,1,0,1
x70,1,0,1,1,1
x71,1,1,1,1,1
x72,1,0,1,0,1
x73,1,0,1,1,1
x74,1,0,1,1,1
x75,1,1,1,1,1
x77,1,1,1,1,1
x78,1,0,1,1,1
x79,1,0,1,0,1
x80,1,1,1,0,1
x81,1,1,1,1,1
x83,1,0,1,0,1
x85,1,0,1,0,1
x86,1,1,1,1,1
x87,1,0,1,0,1
x89,1,1,0,1,0
x90,1,1,1,0,1
x92,1,0,1,0,0
x93,1,0,1,0,1
x94,1,0,1,0,1
x95,1,0,1,0,1
x96,1,1,0,1,0
x97,1,1,0,1,0
x99,1,1,1,0,1
x107,1,1,1,1,1
x108,1,1,1,0,1
x110,1,0,0,0,0
x112,1,0,1,0,1
x113,1,1,1,0,1
x115,1,1,1,1,1
x116,1,0,1,0,1
x119,1,1,1,1,1
x123,1,1,1,1,1
x125,1,0,1,0,1
x127,1,1,1,0,1
x129,1,0,1,0,1
x131,1,1,1,1,1
x132,1,1,1,1,1
x133,1,0,1,0,1
x134,1,1,1,0,1
x135,1,1,1,1,1
x136,1,1,1,1,1
x138,1,1,1,1,1
x139,1,0,1,0,1
x140,1,1,1,1,1
x141,1,1,1,0,1
x146,1,0,1,1,1
x147,1,0,0,1,0
x148,1,0,1,0,1
x149,1,0,1,0,1
x151,1,1,1,1,1
x152,1,1,1,0,1
x154,1,0,1,1,0
x157,1,0,1,1,1
x159,1,1,1,0,1
x160,1,1,1,1,1
x164,1,1,1,1,1
x167,1,0,1,0,1
x170,1,1,0,1,0
x172,1,0,1,1,0
x173,1,0,1,1,0
x174,1,1,1,1,1
x175,1,1,1,1,1
x178,1,0,1,0,1
x180,1,1,1,1,1
x183,1,0,1,0,1
x186,1,1,1,0,0
x187,1,1,1,0,1
x190,1,0,1,0,1
x191,1,0,1,0,1
x192,1,0,1,0,1
x193,1,1,1,1,1
x194,1,1,1,0,0
x195,1,0,1,0,1
x197,1,1,1,0,1
x198,1,1,1,1,1
x200,1,1,1,0,1
x201,1,0,1,0,1
x202,1,1,1,1,1
x205,1,0,1,1,1
x207,1,0,1,1,1
x208,1,1,1,1,1
x210,1,0,0,0,0
x212,1,1,1,1,1
x213,1,0,1,0,0
x214,1,0,1,0,1
x215,1,0,1,0,1
x217,1,0,1,1,1
x222,1,1,1,1,1
x223,1,0,1,0,1
x225,1,1,1,0,1
x226,1,1,1,1,1
x232,1,1,1,0,0
x234,1,0,1,0,1
x239,1,1,1,1,1
x242,1,0,1,0,1
x243,1,1,1,1,1
x247,1,1,1,1,1
x249,1,0,1,0,1
x251,1,1,1,0,1
x255,1,1,1,0,1
x258,1,1,1,0,1
x261,1,0,1,0,1
x262,1,1,1,1,1
x263,1,0,1,0,1
x264,1,1,1,0,1
x267,1,1,1,0,1
x268,1,0,1,0,1
x269,1,1,1,0,1
x273,1,1,1,1,1
x274,1,1,1,1,0
x277,1,0,1,0,1
x281,1,0,1,0,1
x282,1,0,1,0,1
x283,1,1,1,0,1
x286,1,1,1,1,1
x287,1,0,0,1,0
x288,1,0,1,1,1
x289,1,0,1,0,1
x290,1,1,1,1,0
x293,1,1,1,0,1
x294,1,0,1,1,1
x295,1,1,1,1,1
x298,1,0,1,1,1
x299,1,1,1,1,0
x300,1,1,1,1,1
x301,1,1,1,1,1
x302,1,0,1,1,1
x303,1,0,1,0,1
x304,1,1,1,1,1
x305,1,1,1,1,1
x306,1,0,1,0,1
x309,1,1,1,0,1
x310,1,1,1,1,1
x311,1,1,1,1,1
x312,1,1,0,1,0
x313,1,1,1,0,1
x315,1,0,0,1,0
x318,1,1,1,0,1
x320,1,1,1,0,1
x321,1,0,1,1,1
x324,1,1,1,1,1
x326,1,1,1,0,1
x327,1,0,0,1,0
x328,1,0,0,0,0
x331,1,1,1,0,1
x332,1,1,1,0,1
x333,1,0,1,1,1
x334,1,1,1,1,1
x339,1,1,1,1,1
x340,1,1,1,1,1
x342,1,1,1,1,1
x345,1,1,1,0,1
x347,1,1,1,1,1
x348,1,1,1,1,1
x354,1,0,1,0,1
x356,1,1,1,1,1
x357,1,1,1,0,1
x359,1,1,1,1,1
x360,1,1,1,0,1
x361,1,0,0,0,0
x362,1,0,1,0,1
x364,1,1,1,1,0
x366,1,0,1,0,1
x367,1,1,1,0,1
x368,1,1,1,1,1
x369,1,0,1,1,1
x378,1,1,1,1,1
x379,1,1,1,1,1
x381,1,1,1,0,1
x382,1,1,1,0,1
x383,1,1,1,1,1
x384,1,1,1,0,1
x387,1,1,1,0,1
x390,1,1,1,1,1
x392,1,0,1,0,0
x395,1,0,1,0,1
x397,1,0,1,0,1
x398,1,0,1,0,0
x401,1,0,0,1,0
x403,1,1,1,0,1
x404,1,0,0,0,0
x405,1,0,1,0,1
x408,1,1,1,1,1
x409,1,1,1,1,1
x413,1,1,0,1,0
x415,1,1,1,1,1
x417,1,0,1,0,1
x419,1,1,1,0,1
x421,1,1,1,0,1
x424,1,0,1,0,1
x425,1,1,1,1,1
x433,1,1,1,1,0
x434,1,0,1,0,1
x437,1,1,1,1,1
x440,1,0,1,0,0
x441,1,0,1,0,1
x443,1,1,1,0,1
x445,1,0,1,1,1
x447,1,1,1,0,1
x454,1,1,1,1,0
x455,1,0,1,0,1
x458,1,1,1,0,1
x460,1,1,1,1,1
x461,1,1,1,0,1
x463,1,0,0,0,0
x466,1,0,1,0,1
x470,1,1,1,0,1
x472,1,0,1,0,1
x474,1,1,1,0,1
x475,1,1,1,1,1
x476,1,1,1,1,1
x477,1,0,1,1,0
x478,1,1,1,1,1
x480,1,1,1,0,1
x482,1,1,1,1,1
x484,1,1,0,1,0
x485,1,1,1,1,1
x486,1,1,1,1,1
x487,1,0,1,0,1
x491,1,1,1,1,1
x492,1,1,1,1,0
x494,1,0,1,0,1
x495,1,0,1,0,1
x499,1,1,1,1,1
x500,1,1,1,1,1
x501,1,1,1,0,1
x503,1,1,1,1,1
x504,1,1,1,0,1
x505,1,0,1,1,1
x507,1,1,1,1,1
x508,1,0,1,0,0
x509,1,0,1,0,1
x510,1,0,0,1,0
x512,1,1,1,1,1
x513,1,1,0,1,0
x520,1,0,1,1,1
x524,1,1,1,1,1
x525,1,0,1,0,1
x526,1,1,1,1,1
x528,1,1,1,0,1
x534,1,1,1,1,1
x535,1,0,1,0,1
x537,1,1,1,1,1
x540,1,0,1,1,0
x541,1,1,1,1,0
x542,1,1,0,1,0
x543,1,0,0,1,0
x544,1,1,1,1,1
x545,1,0,1,1,1
x546,1,1,1,1,1
x548,1,0,1,0,1
x549,1,1,1,0,1
x550,1,1,1,0,1
x551,1,0,0,0,0
x553,1,1,1,1,1
x555,1,0,1,1,1
x556,1,1,1,1,1
x557,1,1,1,1,1
x560,1,1,1,1,1
x561,1,0,1,1,1
x562,1,1,1,1,1
x566,1,0,1,0,1
x567,1,1,1,0,1
x568,1,0,1,0,1
x573,1,0,1,0,1
x575,1,0,1,0,1
x576,1,0,1,0,1
x579,1,1,1,1,1
x581,1,1,1,1,1
x582,1,1,1,1,1
x587,1,1,1,1,1
x588,1,1,1,1,1
x591,1,1,1,0,1
x594,1,1,0,1,0
x595,1,1,1,1,1
