,fp2,t1,fp3,init,fp1
x349,0,0,0,0,0
x350,0,0,0,0,0
x352,0,1,0,0,1
x353,0,1,0,0,0
x356,0,0,0,0,1
x361,0,1,0,0,0
x368,0,0,0,0,0
x373,0,1,0,0,0
x376,0,0,0,0,0
x377,0,0,0,0,0
x378,0,1,0,0,0
x379,0,0,0,0,1
x380,0,0,0,0,0
x382,0,0,0,0,0
x383,0,1,0,0,1
x384,0,0,0,1,0
x385,0,0,0,0,0
x389,0,0,0,0,1
x393,0,1,0,0,0
x395,0,1,0,0,0
x397,0,1,0,0,0
x399,0,0,0,1,1
x400,0,1,0,1,1
x401,0,1,0,0,1
x403,0,1,0,1,1
x405,0,0,0,0,0
x406,0,0,0,0,1
x408,0,0,0,1,0
x410,0,0,0,0,1
x411,0,0,0,1,0
x413,0,1,1,0,0
x415,0,0,0,0,0
x417,0,1,0,0,0
x421,0,0,0,1,0
x422,0,0,0,1,0
x423,0,0,0,1,0
x425,0,1,1,0,0
x427,0,0,0,1,1
x429,0,0,0,1,0
x430,0,1,0,0,0
x432,0,1,0,0,0
x433,0,0,0,0,0
x435,0,1,0,0,0
x436,0,1,0,0,0
x438,0,0,0,1,0
x439,0,0,0,0,0
x440,0,1,0,0,0
x441,0,0,0,0,0
x446,0,1,0,1,0
x447,0,1,0,0,1
x449,0,0,0,0,0
x452,0,1,0,1,0
x458,0,0,0,1,0
x461,0,0,0,1,1
x464,0,0,0,0,1
x465,0,1,0,0,0
x466,0,1,0,1,0
x471,0,1,0,1,1
x472,0,1,0,0,1
x475,0,1,0,1,1
x477,0,1,0,0,0
x478,0,1,0,1,0
x481,0,1,0,0,1
x482,0,0,0,0,0
x483,0,0,0,0,0
x489,0,1,0,1,0
x490,0,0,1,0,0
x491,0,0,0,1,0
x495,0,1,0,1,0
x499,0,0,0,1,0
x500,0,1,0,1,0
x501,0,0,0,1,0
x502,0,0,0,1,0
x503,0,1,0,0,0
x504,0,0,0,0,0
x506,0,0,0,0,0
x507,0,0,0,0,0
x510,0,0,0,0,1
x514,0,1,0,0,1
x515,0,1,0,0,1
x516,0,0,0,0,0
x517,0,0,0,0,0
x522,0,0,0,0,0
x523,0,0,0,0,0
x526,0,0,0,0,0
x527,0,1,0,0,0
x530,0,1,0,0,0
x531,0,1,0,1,0
x532,0,1,0,0,0
x535,0,1,0,0,0
x536,0,0,0,0,0
x538,0,1,0,0,1
x539,0,0,0,0,0
x540,0,0,0,1,1
x541,0,0,0,0,0
x543,0,0,0,0,1
x544,0,1,0,0,0
x545,0,1,0,0,0
x546,0,1,0,1,1
x548,0,1,0,1,0
x553,0,1,0,0,0
x554,0,1,0,0,0
x557,0,1,0,0,0
x559,0,0,0,1,0
x567,0,0,0,0,0
x569,0,0,0,0,0
x570,0,0,0,0,0
x572,0,1,0,0,1
x575,0,0,0,0,0
x576,0,1,0,1,0
x577,0,0,0,0,1
x578,0,1,0,1,1
x581,0,1,0,1,0
x582,0,0,0,0,0
x583,0,0,0,1,0
x587,0,1,0,0,1
x589,0,1,0,0,1
x591,0,1,0,1,1
x597,0,1,0,1,0
x598,0,1,0,1,0
x601,0,0,0,1,1
x602,0,0,1,0,0
x607,0,1,0,0,1
x609,0,0,0,0,0
x610,0,0,0,1,0
x613,0,0,0,0,1
x614,0,0,0,1,0
x615,0,1,0,0,0
x617,0,1,0,0,0
x621,0,0,0,1,1
x626,0,0,0,1,0
x627,0,0,0,1,0
x628,0,0,0,0,0
x630,0,1,0,1,0
x633,0,0,0,0,0
x635,0,1,0,0,1
x639,0,1,0,0,0
x640,0,0,0,0,1
x648,0,0,1,0,0
x649,0,1,0,0,0
x652,0,0,0,0,0
x653,0,1,0,0,0
x654,0,1,0,0,1
x659,0,1,0,0,0
x661,0,1,0,0,0
x663,0,1,0,0,0
x670,0,1,0,1,1
x671,0,0,0,0,0
x674,0,0,0,0,0
x676,0,0,0,0,0
x679,0,0,0,1,1
x683,0,0,0,0,0
x686,0,1,0,0,0
x687,0,1,0,0,0
x688,0,0,0,1,0
x693,0,0,0,0,0
x696,0,1,0,0,0
x697,0,0,1,0,0
x698,0,1,0,0,0
x699,0,1,0,0,0
x700,0,1,0,0,0
x702,0,0,0,0,0
x703,0,1,0,0,0
x706,0,0,0,1,0
x707,0,0,0,0,0
x708,0,1,0,0,0
x710,0,1,0,0,0
x711,0,1,0,0,0
x712,0,1,0,1,0
x714,0,0,0,0,0
x716,0,1,0,1,1
x717,0,1,0,1,1
x718,0,1,0,0,0
x719,0,1,0,0,0
x720,0,0,0,0,0
x722,0,1,0,1,0
x728,0,1,0,1,0
x729,0,0,0,0,0
x734,0,0,0,0,0
x735,0,0,0,0,0
x737,0,1,0,0,0
x740,0,1,0,0,0
x744,0,0,0,0,0
x745,0,1,0,0,0
x746,0,0,0,0,0
x747,0,0,0,0,0
x748,0,0,0,0,0
x749,0,1,0,1,1
x751,0,0,0,0,1
x753,0,0,0,0,0
x755,0,0,0,0,0
x756,0,0,0,0,0
x757,0,1,0,1,1
x758,0,0,0,1,0
x759,0,1,0,0,0
x760,0,1,0,0,0
x761,0,1,0,1,0
x762,0,0,0,0,0
x764,0,0,0,0,1
x766,0,1,0,0,0
x768,0,1,0,0,0
x772,0,0,0,0,0
x775,0,1,0,0,1
x776,0,1,0,0,0
x777,0,1,0,0,1
x782,0,1,0,0,0
x784,0,1,0,1,0
x789,0,1,0,0,0
x791,0,1,0,1,0
x795,0,0,0,1,1
x798,0,1,0,0,0
x802,0,1,0,1,0
x803,0,0,0,0,0
x806,0,1,0,1,0
x809,0,0,0,0,0
x811,0,0,0,1,0
x812,0,0,0,0,0
x813,0,1,0,1,0
x819,0,1,0,0,0
x820,0,0,0,0,0
x823,0,0,0,0,0
x824,0,1,0,0,0
x825,0,1,0,1,1
x828,0,0,0,1,1
x830,0,1,0,0,0
x831,0,0,0,0,0
x833,0,1,0,0,0
x835,0,1,0,0,0
x836,0,1,0,1,0
x840,0,1,0,0,0
x841,0,1,0,1,1
x848,0,1,0,0,0
x849,0,0,1,0,0
x850,0,0,0,0,1
x851,0,0,0,0,0
x852,0,1,0,1,0
x853,0,1,0,0,0
x855,0,1,0,0,1
x856,0,0,0,0,0
x858,0,1,0,0,0
x861,0,0,0,0,0
x862,0,0,0,0,0
x868,0,1,0,0,0
x869,0,1,0,1,1
x870,0,0,0,1,0
x871,0,0,0,0,0
x873,0,1,0,1,0
x876,0,0,0,0,0
x877,0,1,0,1,1
x878,0,0,0,0,0
x879,0,0,0,0,0
x880,0,0,0,1,0
x881,0,1,0,1,0
x882,0,0,0,0,1
x883,0,0,0,1,0
x885,0,0,0,1,0
x886,0,0,0,0,0
x887,0,0,0,1,0
x889,0,0,0,0,0
x893,0,0,0,0,1
x895,0,1,0,0,0
x898,0,0,0,0,1
x0,1,1,1,0,1
x1,1,1,1,1,0
x2,1,1,1,0,1
x3,1,1,1,0,1
x5,1,0,1,0,1
x6,1,1,1,1,0
x8,1,1,1,0,1
x14,1,1,1,1,0
x15,1,1,1,1,1
x17,1,0,1,0,1
x18,1,1,1,0,0
x19,1,0,1,1,0
x21,1,0,1,0,1
x25,1,0,1,0,0
x30,1,1,1,1,0
x32,1,1,1,1,1
x33,1,1,1,0,1
x34,1,0,1,0,0
x35,1,1,1,0,1
x36,1,1,1,0,1
x37,1,0,1,1,1
x39,1,1,1,0,0
x40,1,0,1,1,1
x41,1,0,1,0,1
x45,1,1,1,1,0
x46,1,0,1,0,0
x48,1,0,1,0,0
x49,1,1,1,1,0
x50,1,1,1,1,1
x52,1,0,1,0,1
x55,1,0,1,1,1
x59,1,1,1,0,0
x63,1,0,1,1,0
x64,1,1,1,1,1
x67,1,1,1,0,1
x69,1,1,1,0,0
x70,1,0,1,1,0
x73,1,0,1,1,1
x74,1,0,1,0,1
x81,1,1,1,1,1
x85,1,0,1,0,1
x86,1,0,1,0,1
x87,1,0,1,1,1
x90,1,0,1,0,1
x92,1,0,1,0,1
x93,1,1,1,1,1
x94,1,0,1,1,1
x96,1,1,1,0,1
x97,1,1,1,0,1
x98,1,0,0,1,1
x101,1,1,1,1,1
x103,1,1,1,0,0
x105,1,1,1,1,1
x107,1,1,1,0,1
x108,1,0,1,1,1
x110,1,1,1,1,0
x111,1,1,1,1,1
x112,1,1,1,1,1
x114,1,0,1,0,1
x115,1,0,1,0,1
x116,1,1,1,1,1
x117,1,0,1,0,0
x119,1,0,1,0,1
x120,1,1,1,1,0
x123,1,1,1,1,1
x124,1,1,1,0,1
x125,1,1,1,1,0
x126,1,0,1,0,1
x127,1,1,1,1,1
x128,1,0,1,1,1
x130,1,0,1,1,0
x132,1,0,1,1,1
x133,1,0,1,1,0
x135,1,1,1,1,1
x139,1,0,1,0,1
x142,1,1,1,1,1
x143,1,0,1,0,1
x144,1,1,1,0,1
x149,1,0,1,1,1
x150,1,0,1,1,0
x151,1,1,1,0,1
x153,1,0,1,1,1
x154,1,0,1,1,1
x155,1,1,1,1,1
x156,1,0,1,1,1
x159,1,0,1,1,0
x163,1,1,1,1,1
x168,1,0,1,0,1
x169,1,0,1,0,1
x173,1,0,1,1,1
x174,1,1,1,0,1
x175,1,1,1,0,1
x176,1,1,1,0,1
x179,1,0,1,1,0
x182,1,1,1,1,1
x186,1,0,1,1,1
x187,1,0,1,1,1
x188,1,1,1,0,1
x194,1,1,1,0,1
x195,1,1,1,1,1
x197,1,1,1,1,1
x199,1,1,1,1,1
x200,1,1,1,0,0
x201,1,0,1,1,1
x204,1,0,1,1,1
x208,1,0,1,1,1
x209,1,1,1,1,0
x211,1,1,1,1,1
x213,1,0,1,1,1
x214,1,0,1,0,0
x215,1,1,1,1,1
x216,1,1,1,0,0
x217,1,0,1,1,0
x218,1,0,1,0,1
x219,1,1,1,1,1
x222,1,1,1,0,1
x225,1,1,1,1,1
x227,1,0,1,1,0
x229,1,0,1,1,0
x233,1,1,1,1,1
x234,1,0,1,1,1
x236,1,1,1,0,0
x238,1,1,1,1,1
x239,1,1,1,0,1
x240,1,0,1,1,1
x243,1,1,1,1,0
x244,1,0,0,0,1
x249,1,1,1,1,1
x251,1,1,1,0,1
x254,1,1,1,1,0
x255,1,1,1,0,0
x256,1,1,0,1,1
x257,1,0,1,1,0
x259,1,1,1,1,1
x260,1,1,1,0,0
x261,1,1,1,1,1
x262,1,1,1,0,1
x263,1,0,1,1,1
x264,1,1,1,0,1
x266,1,0,1,1,0
x268,1,0,1,0,1
x269,1,1,1,1,0
x270,1,0,1,1,1
x272,1,0,1,0,1
x274,1,0,1,1,1
x278,1,0,1,1,0
x279,1,1,1,0,1
x281,1,0,1,0,1
x283,1,1,1,0,0
x287,1,0,1,1,1
x288,1,0,1,1,1
x290,1,1,1,0,1
x291,1,1,1,0,1
x293,1,1,1,0,0
x294,1,0,1,0,0
x296,1,0,1,1,0
x298,1,0,1,0,1
x299,1,0,1,0,0
x300,1,0,1,1,1
x301,1,0,1,1,1
x302,1,0,1,0,1
x303,1,0,1,0,0
x304,1,1,1,1,1
x306,1,0,1,0,0
x312,1,1,1,1,1
x313,1,0,1,0,0
x314,1,0,1,1,1
x320,1,1,1,0,1
x321,1,1,1,1,1
x323,1,0,1,0,1
x325,1,1,1,1,1
x326,1,1,1,0,1
x328,1,1,1,0,1
x333,1,0,1,1,1
x334,1,1,1,0,1
x335,1,0,1,0,0
x338,1,0,1,1,0
x340,1,1,1,0,0
x341,1,1,1,1,1
x343,1,1,1,1,1
x344,1,1,1,0,0
x345,1,1,1,0,1
x347,1,0,1,1,1
x351,1,1,1,0,1
x354,1,1,1,1,0
x355,1,1,1,1,1
x357,1,0,1,0,1
x358,1,0,1,0,0
x359,1,0,1,1,1
x360,1,1,1,1,1
x362,1,0,1,0,0
x363,1,1,1,0,1
x364,1,0,1,1,1
x365,1,0,1,1,0
x366,1,1,1,0,1
x367,1,1,1,1,1
x369,1,1,1,1,1
x370,1,0,1,1,1
x371,1,0,1,1,0
x372,1,1,1,1,1
x374,1,1,1,1,0
x375,1,1,1,1,1
x381,1,0,0,1,1
x386,1,0,1,0,0
x387,1,1,1,1,0
x388,1,0,1,1,1
x390,1,0,1,1,1
x391,1,1,1,0,0
x392,1,0,1,1,0
x394,1,0,1,1,1
x396,1,1,1,1,0
x398,1,1,1,0,1
x402,1,0,1,1,1
x404,1,0,1,1,0
x407,1,1,1,0,1
x409,1,1,1,0,1
x412,1,1,1,0,0
x414,1,0,1,1,0
x416,1,1,1,1,1
x418,1,1,1,0,1
x419,1,1,1,0,1
x420,1,1,1,1,1
x424,1,0,1,0,0
x426,1,0,1,1,0
x428,1,0,1,0,1
x431,1,0,1,1,0
x434,1,1,1,1,0
x437,1,0,1,0,1
x442,1,1,1,0,1
x443,1,0,1,0,0
x444,1,1,1,1,1
x445,1,0,1,0,1
x448,1,1,1,0,1
x450,1,1,1,0,0
x451,1,1,1,1,0
x453,1,0,0,1,1
x454,1,1,0,1,1
x455,1,0,1,0,1
x456,1,0,1,0,1
x457,1,1,1,1,1
x459,1,1,1,0,0
x460,1,1,1,1,1
x462,1,1,1,1,1
x463,1,0,1,1,1
x467,1,1,0,0,1
x468,1,1,1,0,1
x469,1,0,1,1,1
x470,1,1,1,1,1
x473,1,0,1,1,1
x474,1,0,1,1,1
x476,1,1,1,1,1
x479,1,0,1,1,1
x480,1,0,1,1,0
x484,1,1,1,1,0
x485,1,0,1,0,0
x486,1,0,1,1,0
x487,1,1,1,0,0
x488,1,0,1,1,0
x492,1,1,1,1,1
x493,1,1,1,0,1
x494,1,1,1,0,0
x496,1,0,1,1,1
x497,1,1,1,1,1
x498,1,1,1,0,1
x505,1,0,1,0,0
x508,1,0,1,0,1
x509,1,0,1,0,0
x511,1,0,1,0,0
x512,1,0,1,0,0
x513,1,1,1,1,1
x518,1,0,0,0,1
x519,1,1,1,1,1
x520,1,1,1,1,1
x521,1,1,1,1,1
x524,1,1,1,0,0
x525,1,1,1,1,1
x528,1,0,0,1,1
x529,1,1,1,0,1
x533,1,1,1,1,0
x534,1,0,1,0,0
x537,1,1,1,0,1
x542,1,0,1,1,0
x547,1,0,1,0,0
x549,1,1,1,1,1
x550,1,0,1,1,1
x551,1,0,1,1,1
x552,1,1,1,1,1
x555,1,0,1,1,1
x556,1,0,1,1,0
x558,1,1,1,1,1
x560,1,1,1,0,0
x561,1,1,1,1,0
x562,1,1,1,1,1
x563,1,1,1,0,0
x564,1,1,1,1,0
x565,1,0,1,0,0
x566,1,0,1,0,1
x568,1,1,1,0,1
x571,1,0,1,1,1
x573,1,1,1,1,1
x574,1,1,1,0,1
x579,1,1,1,1,1
x580,1,1,1,1,1
x584,1,1,1,1,1
x585,1,0,0,1,1
x586,1,0,1,0,1
x588,1,1,1,0,1
x590,1,1,1,1,1
x592,1,0,1,0,1
x593,1,0,1,0,1
x594,1,0,1,1,1
x595,1,0,1,1,1
x596,1,1,1,1,1
x599,1,1,0,0,1
x600,1,0,1,1,0
x603,1,1,1,0,1
x604,1,0,1,0,0
x605,1,0,1,1,1
x606,1,1,1,1,0
x608,1,0,1,1,1
x611,1,0,1,0,1
x612,1,1,1,1,1
x616,1,0,1,1,1
x618,1,0,1,0,1
x619,1,0,1,1,0
x620,1,0,1,0,0
x622,1,1,1,0,0
x623,1,1,1,1,1
x624,1,0,1,1,0
x625,1,0,1,1,1
x629,1,1,1,1,1
x631,1,0,1,1,1
x632,1,0,1,0,0
x634,1,1,1,0,1
x636,1,1,1,0,0
x637,1,1,1,0,1
x638,1,1,1,0,0
x641,1,1,1,0,1
x642,1,1,1,1,1
x643,1,0,1,0,0
x644,1,1,1,1,0
x645,1,1,1,1,1
x646,1,1,1,0,1
x647,1,0,1,0,1
x650,1,1,1,1,1
x651,1,0,1,1,1
x655,1,1,1,1,1
x656,1,0,1,1,1
x657,1,0,1,1,1
x658,1,0,1,0,1
x660,1,1,1,1,1
x662,1,1,1,0,0
x664,1,0,1,1,1
x665,1,0,1,0,1
x666,1,0,1,1,1
x667,1,1,1,1,1
x668,1,0,1,0,1
x669,1,0,1,0,1
x672,1,1,1,0,1
x673,1,0,1,1,1
x675,1,1,1,0,1
x677,1,0,1,1,1
x678,1,1,1,0,1
x680,1,0,1,0,0
x681,1,0,1,1,1
x682,1,1,1,1,1
x684,1,0,1,1,1
x685,1,0,1,1,0
x689,1,1,1,0,1
x690,1,0,1,0,1
x691,1,1,1,1,1
x692,1,0,1,0,1
x694,1,1,1,1,0
x695,1,0,1,1,0
x701,1,1,1,1,1
x704,1,1,1,1,0
x705,1,1,1,0,1
x709,1,0,1,0,1
x713,1,1,1,1,1
x715,1,0,1,1,1
x721,1,0,1,1,0
x723,1,1,1,0,0
x724,1,1,1,1,1
x725,1,1,1,0,1
x726,1,1,1,1,1
x727,1,1,1,1,1
x730,1,0,1,0,0
x731,1,0,1,1,1
x732,1,1,1,1,1
x733,1,1,1,1,1
x736,1,0,1,0,0
x738,1,0,1,1,1
x739,1,0,1,0,1
x741,1,1,1,0,0
x742,1,1,1,1,1
x743,1,1,1,0,1
x750,1,1,1,1,1
x752,1,0,1,1,0
x754,1,0,1,1,0
x763,1,1,1,1,1
x765,1,0,1,1,1
x767,1,1,1,1,1
x769,1,1,1,0,1
x770,1,1,1,1,1
x771,1,0,0,0,1
x773,1,0,1,0,0
x774,1,0,1,1,1
x778,1,1,1,1,1
x779,1,0,1,0,0
x780,1,1,1,0,0
x781,1,1,1,0,1
x783,1,0,1,0,1
x785,1,0,1,1,0
x786,1,0,1,1,1
x787,1,1,1,1,1
x788,1,0,1,1,0
x790,1,1,1,1,1
x792,1,0,1,0,0
x793,1,1,1,1,1
x794,1,1,1,1,0
x796,1,1,1,1,0
x797,1,0,1,1,1
x799,1,0,1,1,0
x800,1,1,1,0,0
x801,1,1,1,1,0
x804,1,0,1,0,0
x805,1,1,1,1,1
x807,1,0,1,1,0
x808,1,1,1,1,1
x810,1,0,1,1,1
x814,1,0,1,1,1
x815,1,0,1,0,1
x816,1,1,1,1,1
x817,1,0,1,0,0
x818,1,0,1,1,0
x821,1,1,1,0,1
x822,1,1,1,1,0
x826,1,0,1,0,1
x827,1,1,1,1,1
x829,1,1,1,0,1
x832,1,1,1,1,1
x834,1,1,1,0,1
x837,1,1,1,1,0
x838,1,0,1,0,0
x839,1,1,1,0,0
x842,1,0,1,1,0
x843,1,1,1,1,1
x844,1,0,1,0,1
x845,1,1,1,1,1
x846,1,1,1,1,1
x847,1,1,1,1,1
x854,1,1,1,1,0
x857,1,0,1,0,1
x859,1,0,1,1,0
x860,1,1,1,0,0
x863,1,0,1,1,1
x864,1,0,1,1,0
x865,1,1,1,0,1
x866,1,0,1,1,0
x867,1,0,1,0,0
x872,1,0,1,0,1
x874,1,1,1,0,1
x875,1,0,1,1,1
x884,1,0,1,1,1
x888,1,1,1,0,1
x890,1,1,1,1,1
x891,1,1,1,0,0
x892,1,0,1,0,0
x894,1,0,1,1,0
x896,1,1,1,1,0
x897,1,1,1,1,0
x899,1,0,1,0,0
