,init,t1,fp2,fp3,fp1
x326,0,0,1,1,0
x328,0,0,1,1,1
x330,0,0,1,1,1
x331,0,1,0,0,0
x332,0,0,1,1,1
x333,0,1,0,0,0
x335,0,1,1,1,1
x337,0,0,0,0,1
x338,0,1,0,0,0
x339,0,1,0,0,1
x345,0,0,0,0,1
x346,0,0,1,1,1
x347,0,0,1,0,0
x348,0,0,1,1,1
x352,0,1,1,1,0
x354,0,0,0,0,0
x356,0,0,0,0,0
x358,0,1,0,0,0
x359,0,1,1,1,0
x361,0,1,1,0,0
x363,0,1,1,1,1
x364,0,0,1,0,0
x366,0,1,0,0,1
x367,0,0,0,0,1
x368,0,0,0,0,0
x370,0,0,1,0,1
x372,0,1,0,0,0
x374,0,1,0,0,1
x376,0,1,0,0,0
x378,0,1,0,1,1
x380,0,1,1,1,0
x381,0,1,0,0,0
x382,0,1,0,0,1
x388,0,0,0,0,0
x389,0,1,1,1,1
x390,0,0,1,1,0
x392,0,0,0,0,0
x393,0,1,0,0,1
x395,0,0,1,1,1
x396,0,1,0,0,1
x398,0,1,0,1,0
x403,0,0,0,0,0
x405,0,1,1,1,1
x406,0,1,1,1,1
x409,0,1,0,0,1
x410,0,1,1,1,0
x411,0,1,1,1,0
x415,0,1,1,1,1
x416,0,1,1,0,0
x417,0,1,1,1,0
x418,0,1,1,1,0
x420,0,0,1,1,1
x421,0,1,1,1,1
x424,0,1,1,1,1
x425,0,1,1,1,0
x426,0,1,1,1,1
x427,0,1,1,1,0
x431,0,1,1,1,1
x432,0,1,1,1,0
x434,0,1,0,0,1
x435,0,0,1,1,0
x436,0,1,1,1,1
x438,0,0,1,1,1
x440,0,1,1,1,1
x443,0,1,1,1,0
x444,0,1,1,1,1
x445,0,0,0,0,0
x446,0,1,0,1,1
x447,0,1,0,0,1
x451,0,1,1,1,0
x452,0,1,0,0,1
x453,0,1,0,0,0
x456,0,1,1,1,1
x457,0,0,0,0,0
x458,0,1,0,0,1
x461,0,1,1,1,0
x463,0,1,1,1,0
x464,0,1,1,1,1
x466,0,1,1,1,1
x467,0,1,0,0,1
x469,0,1,1,1,0
x472,0,0,0,0,1
x474,0,0,0,1,1
x476,0,1,0,0,1
x477,0,1,1,1,1
x478,0,1,1,1,1
x479,0,1,1,1,0
x480,0,1,0,0,0
x482,0,1,0,0,0
x485,0,1,0,0,0
x486,0,0,0,0,0
x487,0,1,1,1,0
x489,0,1,0,1,0
x490,0,0,1,1,1
x492,0,0,0,1,1
x498,0,1,1,0,0
x499,0,1,0,1,0
x500,0,0,0,0,1
x503,0,1,0,0,0
x505,0,1,1,0,0
x506,0,1,0,0,1
x508,0,0,0,0,1
x509,0,0,0,0,1
x510,0,1,1,1,1
x512,0,0,1,1,0
x514,0,1,0,0,1
x517,0,1,0,0,0
x521,0,1,1,1,0
x522,0,1,1,1,1
x523,0,1,1,1,1
x524,0,1,0,1,0
x525,0,1,0,0,1
x526,0,1,1,1,1
x527,0,1,0,0,1
x528,0,1,0,0,1
x530,0,1,0,1,1
x531,0,1,0,0,1
x533,0,1,0,0,0
x534,0,1,0,0,0
x535,0,1,1,0,0
x536,0,0,1,1,1
x537,0,1,0,0,0
x538,0,1,1,1,0
x542,0,1,1,0,0
x544,0,1,1,1,0
x545,0,1,1,0,1
x546,0,1,0,0,1
x547,0,1,1,1,1
x548,0,1,0,1,1
x549,0,1,1,0,0
x550,0,1,0,0,1
x553,0,1,0,1,1
x554,0,1,0,0,1
x556,0,1,0,1,1
x558,0,1,0,0,1
x559,0,1,0,1,1
x560,0,1,1,0,1
x561,0,0,0,0,0
x564,0,1,0,0,1
x566,0,1,0,1,1
x567,0,1,0,0,0
x569,0,1,0,0,0
x573,0,0,0,0,0
x574,0,1,0,1,1
x578,0,0,0,0,1
x579,0,0,0,0,0
x580,0,0,0,0,0
x581,0,0,0,0,1
x584,0,0,0,1,1
x585,0,1,1,1,0
x588,0,0,0,0,0
x589,0,1,1,1,0
x592,0,0,1,1,0
x593,0,0,1,1,1
x596,0,0,0,0,1
x598,0,1,1,1,1
x599,0,0,0,1,1
x3,1,1,1,1,1
x4,1,0,0,0,1
x11,1,1,1,1,0
x12,1,1,0,0,1
x15,1,1,1,1,0
x18,1,1,0,0,0
x19,1,0,0,0,1
x22,1,1,0,0,0
x23,1,0,0,1,1
x26,1,0,1,1,1
x32,1,1,1,1,0
x35,1,1,1,0,0
x37,1,0,1,0,0
x39,1,1,1,1,0
x44,1,1,1,1,1
x45,1,1,0,0,0
x46,1,1,1,1,1
x47,1,1,0,0,1
x48,1,1,0,1,1
x51,1,0,1,1,0
x52,1,0,1,1,1
x58,1,1,1,0,0
x59,1,0,1,1,0
x62,1,1,0,0,0
x64,1,1,0,0,1
x65,1,1,0,0,1
x66,1,1,0,0,0
x67,1,0,1,1,0
x68,1,0,0,0,0
x70,1,1,0,0,0
x73,1,1,1,1,1
x74,1,0,0,1,1
x75,1,1,1,1,1
x77,1,0,1,1,1
x78,1,1,1,1,1
x79,1,0,0,1,1
x80,1,1,0,0,1
x81,1,0,1,1,1
x84,1,0,1,1,1
x85,1,1,0,0,0
x87,1,1,1,1,0
x90,1,0,1,1,0
x91,1,0,0,0,1
x93,1,1,0,0,0
x96,1,1,1,1,0
x99,1,0,0,1,0
x105,1,0,1,0,0
x107,1,0,0,0,0
x108,1,0,0,0,1
x111,1,1,0,0,0
x113,1,0,1,1,0
x114,1,0,0,0,0
x119,1,1,1,1,0
x120,1,0,1,1,1
x121,1,1,1,1,1
x122,1,0,1,1,1
x125,1,0,1,1,1
x128,1,0,1,1,0
x132,1,1,0,0,1
x133,1,1,1,1,0
x139,1,0,0,1,1
x140,1,0,0,0,0
x146,1,1,1,1,1
x148,1,0,0,0,1
x149,1,1,0,0,1
x150,1,0,1,1,0
x154,1,0,1,1,0
x156,1,1,1,1,1
x161,1,1,0,0,1
x163,1,0,0,0,0
x167,1,1,0,0,0
x171,1,1,1,1,1
x175,1,0,1,0,1
x176,1,0,0,0,0
x178,1,0,1,1,0
x179,1,1,1,1,0
x180,1,0,0,0,1
x181,1,0,1,1,0
x182,1,0,1,1,0
x183,1,0,0,0,1
x190,1,1,0,0,0
x191,1,0,1,1,1
x192,1,1,0,0,0
x194,1,0,1,1,1
x195,1,0,0,0,1
x196,1,0,1,0,1
x197,1,0,1,1,1
x198,1,1,1,1,1
x199,1,0,0,0,1
x200,1,1,0,0,1
x209,1,0,0,0,0
x210,1,1,1,1,0
x213,1,0,1,1,0
x215,1,1,0,0,1
x217,1,0,0,0,0
x219,1,1,0,0,1
x222,1,1,0,0,0
x223,1,1,0,0,1
x224,1,0,1,1,0
x232,1,1,1,1,1
x233,1,1,0,0,0
x234,1,1,1,1,1
x235,1,0,1,1,0
x236,1,0,0,0,0
x240,1,0,0,1,0
x241,1,0,0,0,1
x243,1,0,0,0,0
x244,1,0,0,0,0
x246,1,0,1,1,1
x247,1,1,1,1,1
x248,1,0,0,0,1
x249,1,1,0,1,1
x250,1,0,1,1,1
x251,1,1,0,0,1
x252,1,0,0,0,1
x253,1,0,0,0,1
x255,1,1,1,1,1
x256,1,0,0,0,0
x259,1,1,1,0,0
x260,1,0,1,1,0
x262,1,1,0,0,1
x264,1,0,0,0,1
x265,1,0,0,0,0
x266,1,1,1,1,0
x267,1,0,1,1,1
x268,1,1,0,0,1
x270,1,0,1,0,1
x271,1,1,0,0,1
x272,1,0,1,1,0
x275,1,0,1,1,0
x276,1,0,0,0,1
x278,1,0,1,1,0
x279,1,1,1,1,0
x280,1,1,1,0,0
x281,1,0,0,1,1
x282,1,0,0,0,0
x283,1,0,0,0,1
x285,1,0,1,1,1
x286,1,1,0,0,0
x288,1,0,0,0,0
x289,1,0,1,0,0
x292,1,0,0,0,0
x293,1,0,1,1,1
x295,1,0,1,1,0
x297,1,0,1,1,1
x299,1,1,1,1,1
x300,1,0,1,1,1
x301,1,0,0,0,0
x302,1,1,0,0,1
x304,1,0,1,1,0
x308,1,1,0,0,0
x311,1,1,1,1,0
x316,1,1,0,0,1
x318,1,1,0,0,0
x319,1,1,1,1,1
x321,1,0,1,1,1
x324,1,0,0,0,1
x325,1,0,0,0,0
x327,1,1,1,1,1
x329,1,1,0,0,0
x334,1,1,1,1,1
x336,1,1,0,0,0
x340,1,1,1,1,0
x341,1,0,0,0,1
x342,1,1,0,0,1
x343,1,1,1,1,1
x344,1,1,0,0,0
x349,1,0,1,1,0
x350,1,0,0,0,1
x351,1,1,1,1,0
x353,1,0,1,1,1
x355,1,0,1,1,0
x357,1,1,1,1,1
x360,1,0,1,1,0
x362,1,0,1,0,0
x365,1,0,1,1,1
x369,1,0,0,0,0
x371,1,0,0,0,0
x373,1,1,0,0,0
x375,1,0,1,1,0
x377,1,1,1,1,0
x379,1,1,1,1,1
x383,1,1,0,0,1
x384,1,0,1,0,0
x385,1,0,1,1,1
x386,1,0,0,1,0
x387,1,1,0,0,0
x391,1,1,1,0,0
x394,1,1,0,1,0
x397,1,0,0,0,0
x399,1,1,0,0,0
x400,1,1,0,0,0
x401,1,0,1,1,1
x402,1,0,0,0,1
x404,1,0,1,1,1
x407,1,0,1,1,1
x408,1,0,1,1,1
x412,1,0,0,0,1
x413,1,0,0,0,0
x414,1,0,1,1,0
x419,1,0,0,1,0
x422,1,1,0,0,0
x423,1,0,1,1,0
x428,1,0,0,0,1
x429,1,1,1,1,1
x430,1,0,0,0,1
x433,1,0,1,1,1
x437,1,0,1,1,1
x439,1,0,1,1,1
x441,1,0,1,1,1
x442,1,1,1,1,1
x448,1,1,0,0,1
x449,1,0,0,0,0
x450,1,0,1,1,1
x454,1,1,0,0,1
x455,1,0,1,1,0
x459,1,1,0,0,1
x460,1,1,0,0,0
x462,1,0,0,0,0
x465,1,0,0,1,1
x468,1,0,0,1,0
x470,1,0,0,0,0
x471,1,1,0,0,1
x473,1,1,1,1,0
x475,1,0,1,1,1
x481,1,1,1,1,0
x483,1,0,1,0,1
x484,1,0,0,0,0
x488,1,0,0,0,0
x491,1,0,0,0,1
x493,1,1,1,1,1
x494,1,0,0,0,0
x495,1,0,1,1,1
x496,1,0,1,1,0
x497,1,0,1,1,1
x501,1,1,0,0,1
x502,1,1,1,1,1
x504,1,1,1,0,0
x507,1,0,1,1,1
x511,1,1,0,0,0
x513,1,0,1,1,0
x515,1,0,1,1,0
x516,1,0,0,0,0
x518,1,1,1,1,1
x519,1,0,1,1,1
x520,1,1,1,1,1
x529,1,0,0,0,0
x532,1,0,0,0,1
x539,1,0,0,0,1
x540,1,1,1,1,0
x541,1,0,0,0,1
x543,1,0,0,1,1
x551,1,0,1,0,1
x552,1,0,1,1,1
x555,1,0,1,1,1
x557,1,1,0,0,1
x562,1,0,1,0,1
x563,1,0,1,1,0
x565,1,0,0,0,1
x568,1,0,1,1,0
x570,1,1,0,0,1
x571,1,1,0,0,0
x572,1,0,0,1,0
x575,1,1,1,1,1
x576,1,0,0,1,0
x577,1,1,1,1,1
x582,1,1,1,1,1
x583,1,1,1,0,0
x586,1,0,0,0,1
x587,1,0,1,1,0
x590,1,1,1,1,1
x591,1,0,1,1,1
x594,1,0,1,1,1
x595,1,0,1,1,0
x597,1,1,0,0,0
