,fp1,t1,fp3,init,fp2
x221,0,1,0,0,1
x223,0,0,1,0,1
x224,0,0,0,1,0
x226,0,0,0,0,0
x227,0,0,0,0,0
x232,0,0,0,0,0
x233,0,1,0,1,0
x237,0,1,1,1,1
x238,0,0,0,0,0
x240,0,1,0,1,0
x243,0,1,0,0,0
x245,0,0,0,1,0
x248,0,1,0,0,0
x259,0,1,1,1,1
x261,0,0,0,0,0
x265,0,0,1,1,1
x266,0,1,0,0,0
x267,0,0,1,1,1
x268,0,0,1,0,1
x271,0,1,0,0,0
x272,0,1,1,0,1
x273,0,1,0,0,0
x275,0,1,0,0,0
x279,0,0,1,0,1
x280,0,1,1,0,1
x282,0,0,1,1,1
x284,0,0,1,0,1
x285,0,0,0,0,0
x288,0,1,1,1,1
x291,0,0,0,0,0
x293,0,0,1,0,1
x294,0,1,1,1,1
x295,0,1,0,0,0
x298,0,0,0,0,0
x3,1,1,0,1,0
x7,1,1,1,1,1
x8,1,0,1,0,1
x11,1,1,0,1,0
x12,1,0,0,0,0
x13,1,0,1,0,1
x15,1,1,1,1,1
x19,1,1,1,0,1
x21,1,1,1,0,1
x22,1,0,1,1,1
x23,1,1,1,0,1
x26,1,1,1,1,1
x27,1,1,0,0,0
x28,1,1,1,1,1
x30,1,1,1,0,1
x31,1,1,0,0,0
x37,1,0,1,0,1
x38,1,1,0,1,0
x40,1,0,1,1,1
x41,1,1,1,0,1
x43,1,0,1,0,1
x44,1,0,0,0,0
x45,1,0,1,1,1
x47,1,0,0,1,0
x49,1,1,1,0,1
x51,1,0,1,1,1
x52,1,0,1,0,1
x53,1,1,0,1,0
x54,1,1,0,0,0
x57,1,0,0,1,0
x60,1,1,0,1,0
x61,1,0,1,0,1
x62,1,1,0,0,0
x65,1,0,0,0,0
x67,1,0,1,0,1
x68,1,0,0,0,0
x69,1,0,1,1,1
x70,1,1,1,1,1
x71,1,1,1,0,1
x72,1,1,0,1,0
x73,1,1,0,1,0
x74,1,0,1,0,1
x77,1,1,0,0,0
x78,1,1,0,1,0
x79,1,0,0,0,0
x80,1,0,0,0,0
x82,1,0,1,0,1
x83,1,0,1,0,1
x86,1,1,0,1,0
x87,1,0,1,1,1
x88,1,1,0,1,0
x89,1,1,0,1,0
x90,1,0,1,0,1
x91,1,0,0,0,0
x92,1,0,0,0,0
x94,1,1,0,1,0
x100,1,0,1,1,1
x102,1,1,1,0,1
x103,1,0,1,1,1
x105,1,0,1,1,1
x106,1,0,0,0,0
x107,1,1,1,0,1
x108,1,1,0,1,0
x109,1,1,1,1,1
x110,1,0,0,0,0
x112,1,0,1,1,1
x113,1,1,0,0,0
x114,1,0,0,0,0
x116,1,1,0,1,0
x117,1,1,0,1,0
x118,1,0,0,0,0
x120,1,1,0,1,0
x121,1,1,0,1,0
x123,1,1,1,1,1
x124,1,1,0,0,0
x125,1,1,1,1,1
x126,1,0,1,0,1
x127,1,1,1,1,1
x128,1,0,0,0,0
x129,1,1,1,1,1
x130,1,0,1,0,1
x133,1,0,0,0,0
x135,1,0,1,1,1
x137,1,0,1,1,1
x140,1,0,0,0,0
x145,1,1,1,1,1
x147,1,1,1,1,1
x148,1,0,0,0,0
x151,1,0,1,0,1
x154,1,0,1,1,1
x159,1,1,1,1,1
x160,1,0,0,0,0
x162,1,0,0,0,0
x167,1,0,0,0,0
x169,1,0,1,0,1
x170,1,0,0,0,0
x171,1,1,1,0,1
x172,1,1,0,0,0
x174,1,0,1,1,1
x176,1,1,0,1,0
x177,1,0,1,1,1
x178,1,0,1,1,1
x182,1,1,1,0,1
x183,1,1,1,1,1
x184,1,0,0,1,0
x187,1,1,0,1,0
x188,1,0,0,0,0
x189,1,1,1,1,1
x196,1,0,1,0,1
x198,1,1,0,1,0
x200,1,1,1,1,1
x201,1,0,1,0,1
x203,1,1,0,0,0
x205,1,1,1,1,1
x206,1,1,0,0,0
x208,1,1,0,0,0
x209,1,1,0,0,0
x210,1,1,0,0,0
x211,1,0,0,0,0
x212,1,0,1,1,1
x213,1,1,0,1,0
x215,1,0,1,1,1
x216,1,0,0,1,0
x218,1,1,0,1,0
x219,1,1,1,1,1
x220,1,1,1,1,1
x222,1,1,1,1,1
x225,1,1,0,1,0
x228,1,0,0,0,0
x229,1,1,0,1,0
x230,1,1,1,1,1
x231,1,1,1,1,1
x234,1,0,1,0,1
x235,1,0,1,0,1
x236,1,0,1,1,1
x239,1,0,1,1,1
x241,1,0,0,0,0
x242,1,1,1,0,1
x244,1,1,0,0,0
x246,1,1,0,1,0
x247,1,0,1,0,1
x249,1,0,1,0,1
x250,1,1,1,0,1
x251,1,1,0,1,0
x252,1,1,1,1,1
x253,1,1,1,1,1
x254,1,1,1,1,1
x255,1,0,1,0,1
x256,1,0,1,0,1
x257,1,1,1,1,1
x258,1,1,1,1,1
x260,1,0,1,0,1
x262,1,1,1,0,1
x263,1,1,1,1,1
x264,1,0,1,0,1
x269,1,0,1,1,1
x270,1,1,0,1,0
x274,1,1,1,1,1
x276,1,0,0,0,0
x277,1,1,0,1,0
x278,1,1,1,1,1
x281,1,0,0,0,0
x283,1,0,1,0,1
x286,1,1,1,1,1
x287,1,0,1,0,1
x289,1,0,1,1,1
x290,1,1,1,1,1
x292,1,0,0,0,0
x296,1,0,1,0,1
x297,1,0,1,0,1
x299,1,0,1,0,1
