,fp2,t1,fp3,init,fp1
x165,0,1,0,0,0
x166,0,1,0,1,1
x171,0,1,0,0,0
x173,0,0,0,0,0
x175,0,0,0,0,0
x176,0,1,0,1,1
x178,0,1,0,1,0
x180,0,0,0,0,1
x183,0,1,0,0,0
x184,0,0,0,0,0
x186,0,0,0,0,0
x191,0,1,0,1,1
x197,0,1,0,0,1
x198,0,0,0,0,0
x199,0,0,0,0,0
x202,0,1,0,1,1
x203,0,0,0,0,0
x211,0,0,1,1,0
x213,0,0,0,0,0
x214,0,0,0,0,0
x216,0,0,0,0,0
x217,0,0,0,1,0
x219,0,1,0,0,0
x220,0,1,1,0,0
x223,0,0,0,0,1
x224,0,1,0,0,0
x226,0,0,0,1,0
x230,0,0,0,0,0
x231,0,0,1,0,0
x233,0,0,0,0,0
x234,0,0,1,0,1
x235,0,1,0,1,0
x238,0,0,0,0,1
x240,0,1,0,1,0
x241,0,0,0,1,0
x242,0,1,0,0,1
x243,0,0,0,0,0
x245,0,1,0,0,0
x248,0,0,0,1,0
x249,0,0,1,0,1
x252,0,0,0,0,0
x253,0,1,0,1,0
x254,0,1,0,1,1
x255,0,0,0,1,0
x256,0,1,0,1,1
x258,0,0,0,0,0
x261,0,0,0,0,0
x262,0,1,0,1,0
x264,0,1,0,0,0
x268,0,1,1,1,0
x270,0,0,0,1,0
x273,0,1,0,0,0
x274,0,1,0,1,1
x275,0,0,1,0,0
x279,0,1,0,1,1
x281,0,1,1,1,0
x282,0,1,1,1,0
x284,0,0,0,1,0
x289,0,0,0,1,1
x291,0,0,1,0,0
x292,0,1,1,1,1
x294,0,1,0,1,1
x295,0,0,0,0,0
x299,0,0,1,0,0
x302,0,0,0,0,0
x303,0,1,1,0,0
x304,0,1,0,0,0
x305,0,1,0,1,0
x306,0,1,0,1,0
x311,0,0,0,1,1
x312,0,0,1,1,0
x313,0,1,1,1,0
x314,0,0,1,0,0
x315,0,0,0,0,0
x316,0,0,0,1,0
x320,0,1,0,0,0
x324,0,0,0,0,0
x325,0,1,0,1,1
x326,0,1,1,1,0
x328,0,0,0,0,1
x333,0,1,1,1,0
x334,0,0,0,0,1
x335,0,0,0,1,0
x336,0,1,1,0,0
x337,0,0,0,0,1
x338,0,1,0,1,1
x339,0,0,0,0,0
x341,0,0,1,1,0
x342,0,1,0,1,1
x343,0,1,0,0,0
x345,0,1,0,1,0
x347,0,1,1,1,0
x348,0,1,0,1,1
x350,0,1,1,0,0
x351,0,1,0,1,1
x352,0,1,0,1,1
x356,0,0,1,0,1
x357,0,0,0,0,1
x360,0,0,0,0,0
x361,0,1,0,0,0
x362,0,0,0,1,1
x363,0,0,0,0,1
x365,0,0,1,1,0
x367,0,0,0,0,0
x369,0,1,1,1,1
x371,0,0,0,0,0
x373,0,0,0,1,1
x380,0,0,1,0,0
x381,0,1,1,1,1
x382,0,1,1,1,1
x384,0,1,0,1,0
x386,0,0,0,0,1
x388,0,0,1,0,0
x390,0,0,0,1,0
x392,0,1,1,0,0
x395,0,1,1,1,1
x396,0,0,1,1,1
x397,0,1,0,1,1
x400,0,0,0,0,0
x404,0,0,0,0,0
x407,0,1,0,1,1
x410,0,1,0,1,0
x416,0,0,0,1,0
x418,0,0,0,0,0
x419,0,1,0,0,0
x421,0,0,0,0,0
x422,0,0,0,0,0
x423,0,1,0,1,0
x424,0,1,1,1,0
x425,0,1,0,0,0
x426,0,1,1,1,1
x427,0,1,0,0,0
x428,0,0,0,0,1
x429,0,0,0,1,1
x430,0,1,0,1,0
x434,0,1,0,1,0
x435,0,1,0,1,1
x441,0,0,0,0,0
x442,0,0,0,0,0
x443,0,0,0,1,0
x444,0,1,1,0,1
x445,0,0,0,0,0
x446,0,0,0,0,1
x450,0,1,1,1,0
x451,0,0,0,1,1
x452,0,0,0,0,1
x454,0,1,0,1,1
x455,0,1,0,0,1
x457,0,0,0,0,1
x460,0,0,0,0,0
x464,0,1,0,1,1
x465,0,1,0,0,0
x469,0,1,0,1,1
x471,0,1,1,0,0
x473,0,0,0,0,1
x478,0,1,0,1,0
x480,0,0,0,0,1
x481,0,0,1,0,0
x486,0,0,0,0,1
x488,0,0,0,0,0
x489,0,0,1,0,1
x493,0,1,0,1,0
x494,0,0,0,0,0
x495,0,1,0,0,0
x496,0,0,0,0,0
x498,0,0,1,1,0
x502,0,1,0,0,0
x504,0,0,1,0,0
x513,0,0,0,1,0
x515,0,1,0,1,1
x516,0,0,0,1,1
x519,0,0,0,0,1
x521,0,0,0,0,0
x522,0,1,0,1,0
x524,0,1,1,0,0
x530,0,1,0,1,1
x532,0,1,0,0,0
x535,0,1,0,1,1
x536,0,0,0,0,1
x538,0,1,1,1,0
x539,0,1,0,1,0
x541,0,1,0,1,0
x544,0,0,0,0,0
x545,0,0,1,1,0
x546,0,1,0,1,1
x547,0,1,0,1,0
x550,0,0,0,0,0
x553,0,0,0,1,0
x554,0,0,0,0,0
x558,0,1,0,0,1
x561,0,0,0,1,1
x565,0,1,0,1,1
x566,0,0,0,0,0
x567,0,0,0,0,1
x569,0,1,0,0,0
x577,0,1,1,0,0
x578,0,0,0,1,0
x579,0,0,1,0,0
x581,0,0,1,0,1
x585,0,0,1,0,0
x587,0,1,1,1,1
x588,0,1,0,0,0
x594,0,1,0,0,0
x595,0,1,1,0,0
x597,0,0,0,0,0
x598,0,0,0,0,0
x0,1,1,1,1,0
x1,1,0,1,0,0
x2,1,1,0,0,0
x4,1,0,0,0,1
x5,1,0,1,0,1
x8,1,1,1,1,1
x9,1,0,1,0,0
x12,1,0,1,0,1
x14,1,0,1,0,1
x18,1,1,1,1,0
x19,1,1,0,1,0
x21,1,1,1,1,0
x26,1,0,1,0,1
x30,1,1,1,1,1
x31,1,1,1,1,1
x37,1,0,1,1,1
x40,1,0,1,1,1
x44,1,0,0,0,1
x45,1,1,1,1,0
x46,1,0,1,0,1
x48,1,0,1,0,1
x50,1,0,1,1,1
x52,1,1,1,1,0
x55,1,0,0,0,0
x56,1,0,1,0,0
x57,1,1,1,0,1
x61,1,1,1,1,0
x63,1,1,1,1,1
x64,1,0,1,0,1
x65,1,0,0,0,0
x66,1,0,0,1,0
x68,1,0,0,1,1
x78,1,1,1,0,1
x81,1,0,0,0,1
x86,1,0,1,0,1
x87,1,1,1,0,1
x93,1,0,1,0,1
x94,1,0,1,0,0
x98,1,1,0,1,1
x99,1,1,1,1,1
x100,1,0,0,0,0
x101,1,1,1,1,1
x103,1,1,1,1,0
x105,1,1,1,1,1
x107,1,0,1,0,1
x109,1,0,1,0,1
x110,1,0,1,0,1
x113,1,0,1,0,1
x114,1,1,1,1,1
x116,1,0,1,0,1
x121,1,0,1,0,0
x124,1,1,1,1,1
x126,1,1,1,0,1
x132,1,0,0,0,0
x134,1,1,1,1,1
x135,1,1,1,1,1
x137,1,0,1,1,1
x139,1,0,1,1,0
x141,1,0,1,0,1
x142,1,1,1,0,1
x144,1,1,1,0,1
x145,1,1,1,1,1
x146,1,1,1,0,1
x147,1,0,1,1,1
x150,1,0,1,1,1
x151,1,0,1,0,1
x154,1,0,1,0,0
x155,1,1,1,1,0
x156,1,0,1,0,1
x157,1,0,1,0,1
x159,1,1,1,1,1
x162,1,1,1,1,1
x163,1,1,1,1,1
x164,1,1,1,1,1
x167,1,0,0,0,0
x168,1,1,0,1,0
x169,1,1,1,0,0
x170,1,1,1,1,1
x172,1,0,1,1,1
x174,1,1,1,1,0
x177,1,1,1,0,1
x179,1,1,1,1,0
x181,1,0,1,0,1
x182,1,0,0,0,1
x185,1,1,1,1,1
x187,1,0,1,0,0
x188,1,0,1,1,1
x189,1,1,0,0,1
x190,1,0,1,1,1
x192,1,0,1,0,0
x193,1,0,1,1,1
x194,1,0,0,0,0
x195,1,1,1,1,1
x196,1,1,1,1,0
x200,1,0,1,1,1
x201,1,0,1,1,1
x204,1,1,1,1,1
x205,1,0,1,0,1
x206,1,1,0,1,1
x207,1,1,0,1,1
x208,1,1,1,0,1
x209,1,1,0,1,0
x210,1,0,1,0,0
x212,1,1,1,1,1
x215,1,0,1,0,0
x218,1,1,1,1,0
x221,1,1,0,0,0
x222,1,0,1,0,1
x225,1,1,1,1,1
x227,1,1,1,1,1
x228,1,0,1,0,0
x229,1,0,1,0,1
x232,1,0,1,0,1
x236,1,1,1,1,1
x237,1,1,1,0,0
x239,1,0,1,0,1
x244,1,0,1,1,1
x246,1,0,0,0,1
x247,1,1,1,0,0
x250,1,0,1,1,1
x251,1,1,1,0,0
x257,1,0,0,0,1
x259,1,0,0,0,0
x260,1,1,1,0,1
x263,1,0,1,1,1
x265,1,0,1,1,0
x266,1,0,1,1,0
x267,1,1,1,0,1
x269,1,1,1,1,1
x271,1,0,1,0,1
x272,1,0,0,0,1
x276,1,1,1,1,1
x277,1,0,1,1,1
x278,1,1,1,1,1
x280,1,1,1,0,1
x283,1,1,1,1,1
x285,1,1,1,0,0
x286,1,0,1,1,1
x287,1,1,1,1,1
x288,1,0,1,1,0
x290,1,1,1,0,1
x293,1,1,1,1,1
x296,1,1,0,1,1
x297,1,1,1,1,1
x298,1,0,1,0,1
x300,1,1,1,1,1
x301,1,0,1,1,1
x307,1,0,1,1,1
x308,1,0,0,0,0
x309,1,1,0,1,1
x310,1,1,1,0,1
x317,1,1,1,0,1
x318,1,1,1,1,0
x319,1,0,1,1,1
x321,1,1,0,1,1
x322,1,1,1,1,1
x323,1,1,1,1,0
x327,1,1,1,1,1
x329,1,0,1,0,0
x330,1,1,1,1,1
x331,1,1,1,1,1
x332,1,1,1,1,1
x340,1,0,0,0,0
x344,1,0,1,1,1
x346,1,1,1,1,1
x349,1,0,1,0,1
x353,1,1,1,0,1
x354,1,1,1,1,0
x355,1,0,1,0,1
x358,1,0,1,1,1
x359,1,0,1,0,1
x364,1,0,1,0,0
x366,1,0,1,0,0
x368,1,0,1,0,0
x370,1,0,1,0,1
x372,1,1,0,1,1
x374,1,0,1,1,0
x375,1,0,1,0,0
x376,1,0,1,1,1
x377,1,1,1,1,1
x378,1,0,1,0,1
x379,1,1,1,1,1
x383,1,1,1,1,1
x385,1,1,1,1,1
x387,1,1,1,1,1
x389,1,0,1,1,1
x391,1,1,1,1,1
x393,1,0,1,0,1
x394,1,0,1,1,0
x398,1,0,1,0,1
x399,1,1,1,0,1
x401,1,0,0,1,1
x402,1,1,1,1,1
x403,1,0,1,0,1
x405,1,1,1,1,1
x406,1,0,0,1,1
x408,1,0,1,0,0
x409,1,1,0,0,1
x411,1,1,1,1,1
x412,1,1,0,1,0
x413,1,0,1,0,0
x414,1,1,0,0,1
x415,1,0,1,1,1
x417,1,1,1,0,1
x420,1,1,1,1,1
x431,1,1,1,1,0
x432,1,1,1,1,1
x433,1,0,1,1,1
x436,1,0,1,0,1
x437,1,1,1,1,1
x438,1,0,1,1,1
x439,1,1,1,0,1
x440,1,0,0,0,1
x447,1,1,1,1,1
x448,1,0,1,1,1
x449,1,1,0,0,1
x453,1,0,1,1,1
x456,1,1,1,1,1
x458,1,1,1,1,1
x459,1,1,1,1,1
x461,1,0,1,0,1
x462,1,1,1,1,1
x463,1,1,1,0,1
x466,1,0,1,0,1
x467,1,1,1,1,1
x468,1,0,0,1,0
x470,1,1,1,1,0
x472,1,0,1,0,0
x474,1,1,1,1,0
x475,1,0,1,0,1
x476,1,1,1,1,1
x477,1,1,1,0,1
x479,1,1,1,1,1
x482,1,1,1,0,1
x483,1,1,1,0,0
x484,1,0,1,1,1
x485,1,0,1,0,1
x487,1,1,0,1,0
x490,1,1,1,0,1
x491,1,0,1,1,0
x492,1,0,1,1,1
x497,1,1,0,1,1
x499,1,0,1,1,1
x500,1,1,1,1,1
x501,1,1,1,1,1
x503,1,1,1,1,0
x505,1,1,0,1,1
x506,1,0,0,0,0
x507,1,1,0,1,0
x508,1,0,0,0,0
x509,1,0,0,1,1
x510,1,1,0,1,1
x511,1,0,1,1,1
x512,1,0,1,0,1
x514,1,1,1,0,1
x517,1,1,1,1,1
x518,1,1,1,1,1
x520,1,0,1,1,1
x523,1,1,0,0,1
x525,1,1,1,1,0
x526,1,0,1,0,0
x527,1,1,1,0,1
x528,1,1,1,0,0
x529,1,1,0,1,0
x531,1,1,1,0,0
x533,1,1,0,1,1
x534,1,1,1,1,1
x537,1,0,1,0,1
x540,1,0,1,0,0
x542,1,0,0,0,0
x543,1,1,1,1,1
x548,1,1,0,0,1
x549,1,0,1,0,1
x551,1,0,0,1,1
x552,1,1,1,0,1
x555,1,1,1,1,1
x556,1,1,0,1,1
x557,1,1,1,1,1
x559,1,0,1,0,0
x560,1,0,0,0,0
x562,1,0,1,1,1
x563,1,0,1,0,1
x564,1,0,0,0,0
x568,1,0,1,0,1
x570,1,1,1,1,1
x571,1,1,1,1,0
x572,1,1,0,1,1
x573,1,0,1,0,1
x574,1,1,1,1,1
x575,1,1,1,1,1
x576,1,1,1,1,1
x580,1,0,1,1,1
x582,1,1,1,1,1
x583,1,0,0,0,1
x584,1,1,1,0,0
x586,1,0,0,1,1
x589,1,0,1,1,0
x590,1,1,1,0,1
x591,1,1,1,1,1
x592,1,1,1,1,1
x593,1,1,0,1,1
x596,1,0,1,1,1
x599,1,1,1,1,1
