,fp1,t1,fp3,fp2,init
x24,1,1,0,1,1
x26,1,1,0,0,1
x28,1,0,0,0,1
x29,1,1,1,1,0
x31,1,1,1,1,0
x34,1,0,0,0,1
x35,1,0,0,0,0
x38,1,0,1,1,0
x39,1,1,0,1,1
x40,1,0,1,1,1
x41,1,0,0,0,0
x44,1,1,1,1,0
x45,1,0,1,1,0
x49,1,0,0,0,1
x51,1,0,0,1,0
x52,1,1,0,0,0
x53,1,1,1,1,1
x54,1,0,0,1,0
x55,1,0,1,1,1
x58,1,1,1,1,0
x59,1,1,0,0,1
x60,1,1,0,0,0
x62,1,1,0,1,1
x63,1,1,1,1,0
x64,1,0,1,1,1
x65,1,1,1,1,1
x66,1,0,0,1,1
x67,1,0,1,1,1
x69,1,0,1,1,1
x70,1,1,1,1,1
x71,1,0,1,1,0
x77,1,1,0,0,1
x82,1,0,1,1,0
x84,1,0,1,1,1
x89,1,1,1,1,1
x90,1,0,1,1,0
x91,1,1,0,1,1
x92,1,1,0,0,1
x96,1,1,0,0,0
x98,1,0,1,1,1
x100,1,0,1,1,0
x101,1,1,0,1,0
x102,1,0,1,1,1
x103,1,0,1,0,1
x104,1,0,1,1,1
x105,1,0,0,0,0
x107,1,1,0,0,0
x108,1,1,0,0,0
x110,1,1,0,0,1
x116,1,1,1,1,1
x117,1,1,1,1,1
x119,1,0,0,0,0
x122,1,0,0,1,0
x125,1,1,1,1,1
x126,1,0,1,1,1
x127,1,0,0,0,0
x130,1,0,1,1,0
x134,1,1,0,0,1
x138,1,1,1,1,1
x140,1,1,1,1,1
x142,1,0,0,0,0
x143,1,0,1,1,1
x146,1,0,0,0,1
x149,1,0,1,1,0
x151,1,1,0,0,1
x152,1,1,1,1,1
x153,1,1,1,1,0
x156,1,0,1,1,0
x161,1,0,1,1,0
x163,1,1,0,0,0
x165,1,0,0,0,0
x166,1,1,0,0,1
x168,1,1,0,0,0
x170,1,0,1,0,0
x171,1,1,1,1,1
x173,1,0,0,0,1
x174,1,1,1,1,0
x175,1,0,0,0,0
x176,1,0,1,1,0
x177,1,0,0,0,0
x184,1,1,0,0,0
x187,1,1,0,0,1
x192,1,0,0,1,0
x193,1,1,1,1,1
x195,1,0,0,1,1
x198,1,1,0,0,1
x205,1,1,0,0,0
x206,1,0,0,0,0
x207,1,0,1,1,0
x209,1,0,0,0,0
x212,1,1,0,0,1
x213,1,0,1,1,0
x216,1,1,0,1,1
x217,1,0,0,0,0
x219,1,1,0,0,1
x222,1,1,0,1,0
x223,1,0,1,1,1
x224,1,1,0,0,1
x225,1,1,0,1,1
x228,1,0,0,1,0
x233,1,1,0,0,1
x235,1,0,1,1,0
x237,1,0,0,1,0
x239,1,1,0,0,0
x242,1,0,0,0,0
x243,1,0,1,1,1
x244,1,0,0,1,0
x246,1,1,0,0,0
x248,1,1,0,1,1
x249,1,0,0,1,0
x253,1,0,1,1,1
x255,1,0,0,0,1
x260,1,0,1,1,0
x264,1,1,1,1,1
x265,1,1,1,0,1
x267,1,0,0,0,1
x268,1,1,0,0,1
x269,1,0,0,1,0
x270,1,1,0,0,1
x271,1,1,0,0,0
x274,1,1,1,1,0
x277,1,0,0,0,0
x278,1,0,0,0,0
x283,1,1,0,0,1
x285,1,0,1,1,1
x287,1,1,0,1,1
x290,1,1,1,1,1
x291,1,1,1,1,1
x293,1,0,1,1,1
x295,1,1,0,0,1
x297,1,0,0,1,0
