,init,fp2,t1,fp1,fp3
x155,0,0,0,0,0
x159,0,0,0,0,0
x160,0,0,0,0,0
x161,0,1,1,0,1
x164,0,0,1,0,0
x165,0,1,0,0,0
x167,0,0,1,0,0
x170,0,1,0,1,1
x171,0,1,0,0,1
x173,0,0,1,0,0
x177,0,0,0,0,0
x178,0,1,0,0,1
x179,0,0,0,0,0
x180,0,0,0,1,1
x181,0,1,1,1,1
x182,0,1,1,1,1
x183,0,0,0,1,0
x184,0,1,0,0,1
x185,0,1,0,1,1
x186,0,1,0,1,1
x188,0,1,0,0,0
x190,0,0,0,0,0
x191,0,1,0,1,1
x193,0,1,0,0,1
x195,0,1,0,0,1
x196,0,0,0,0,0
x198,0,0,0,0,0
x201,0,1,0,0,1
x202,0,0,0,1,0
x203,0,1,0,0,1
x209,0,0,0,0,0
x211,0,1,1,1,1
x213,0,1,0,0,1
x214,0,0,1,0,0
x216,0,0,0,0,0
x217,0,0,0,1,0
x218,0,0,1,0,0
x223,0,0,0,0,0
x224,0,0,1,1,0
x227,0,1,0,0,0
x228,0,0,1,1,0
x231,0,1,0,1,1
x232,0,0,1,1,0
x233,0,0,1,0,0
x241,0,0,1,1,0
x242,0,0,1,0,0
x243,0,1,1,0,1
x246,0,1,1,1,1
x247,0,1,1,0,1
x248,0,0,0,0,0
x249,0,0,0,0,0
x253,0,1,0,1,1
x255,0,1,0,0,1
x256,0,0,1,0,0
x258,0,0,1,1,0
x259,0,1,1,1,1
x262,0,1,1,0,0
x265,0,1,1,1,1
x267,0,1,1,1,1
x270,0,1,0,0,1
x272,0,0,0,0,0
x273,0,0,0,0,0
x274,0,1,0,0,1
x275,0,0,0,1,1
x277,0,0,1,0,0
x279,0,1,1,1,1
x280,0,0,0,0,0
x284,0,0,0,1,0
x289,0,1,0,0,0
x291,0,0,0,1,0
x296,0,1,1,1,1
x297,0,0,0,0,0
x299,0,1,0,1,1
x3,1,1,0,0,0
x5,1,0,1,0,0
x6,1,1,0,0,1
x8,1,1,1,0,1
x11,1,1,1,1,1
x13,1,0,1,1,0
x16,1,1,1,0,1
x17,1,1,1,1,1
x18,1,0,0,1,0
x19,1,1,1,0,1
x20,1,0,0,0,0
x21,1,0,0,1,1
x26,1,0,0,1,1
x27,1,1,0,0,1
x28,1,0,1,1,1
x29,1,0,1,0,0
x32,1,0,0,1,0
x33,1,0,0,1,1
x34,1,1,1,1,1
x36,1,1,0,0,1
x37,1,0,1,0,0
x38,1,0,0,0,0
x39,1,0,1,0,0
x41,1,1,1,0,1
x42,1,1,1,0,1
x43,1,0,1,1,0
x45,1,0,0,0,0
x47,1,0,1,0,0
x48,1,1,1,1,1
x50,1,0,0,1,0
x51,1,0,1,1,0
x53,1,0,0,1,0
x56,1,0,1,0,0
x60,1,1,0,1,1
x67,1,0,0,1,0
x68,1,0,0,1,0
x70,1,0,1,1,0
x72,1,0,1,1,0
x73,1,1,1,1,1
x74,1,0,0,1,0
x75,1,1,1,1,1
x76,1,1,1,1,1
x78,1,1,1,1,1
x80,1,1,1,1,1
x81,1,0,1,1,0
x83,1,0,0,1,0
x84,1,0,1,0,0
x87,1,0,0,1,0
x88,1,0,1,0,0
x90,1,1,1,1,1
x94,1,1,1,0,1
x96,1,0,0,0,0
x101,1,1,1,1,1
x103,1,0,1,1,0
x104,1,1,0,0,1
x106,1,0,1,1,1
x111,1,1,1,1,1
x113,1,1,0,1,1
x116,1,0,0,0,0
x120,1,1,1,1,1
x121,1,0,1,0,0
x122,1,0,1,1,0
x123,1,0,0,1,0
x125,1,1,1,0,1
x126,1,0,1,0,0
x127,1,1,1,1,1
x129,1,1,1,1,1
x131,1,0,1,1,1
x133,1,0,1,1,1
x135,1,0,0,1,0
x136,1,0,1,1,0
x141,1,0,0,0,0
x142,1,1,1,1,1
x145,1,1,1,0,1
x146,1,1,0,1,1
x148,1,0,0,1,0
x151,1,0,0,0,0
x152,1,1,1,1,1
x154,1,0,1,1,0
x156,1,0,0,1,0
x157,1,1,1,1,1
x158,1,1,1,0,0
x162,1,1,1,0,1
x163,1,1,0,1,1
x166,1,1,0,0,1
x168,1,0,0,0,0
x169,1,0,1,1,0
x172,1,1,0,1,1
x174,1,1,1,1,1
x175,1,1,1,0,1
x176,1,0,1,1,1
x187,1,0,1,0,0
x189,1,0,1,0,0
x192,1,0,0,1,0
x194,1,0,1,0,0
x197,1,1,0,0,1
x199,1,0,0,0,0
x200,1,1,0,1,1
x204,1,1,1,0,1
x205,1,1,0,1,1
x206,1,1,1,1,1
x207,1,0,1,0,0
x208,1,1,0,0,1
x210,1,0,0,0,0
x212,1,1,1,0,1
x215,1,0,1,1,0
x219,1,1,1,0,1
x220,1,1,1,1,1
x221,1,1,0,1,1
x222,1,1,0,1,1
x225,1,0,0,1,0
x226,1,1,1,1,1
x229,1,1,1,0,1
x230,1,1,1,0,1
x234,1,0,1,1,1
x235,1,1,1,1,1
x236,1,0,1,0,0
x237,1,1,1,1,1
x238,1,0,1,1,1
x239,1,1,1,0,1
x240,1,1,0,1,1
x244,1,0,1,0,0
x245,1,0,1,1,0
x250,1,1,0,1,1
x251,1,0,1,0,0
x252,1,1,0,0,0
x254,1,0,1,0,0
x257,1,0,0,1,1
x260,1,0,0,0,0
x261,1,1,1,1,1
x263,1,0,1,1,0
x264,1,0,0,1,0
x266,1,1,1,1,1
x268,1,1,1,1,1
x269,1,1,1,1,1
x271,1,1,0,1,1
x276,1,0,1,1,0
x278,1,1,1,0,0
x281,1,1,1,1,1
x282,1,1,0,0,1
x283,1,1,0,0,1
x285,1,1,0,1,1
x286,1,1,1,1,1
x287,1,1,1,0,1
x288,1,0,0,1,1
x290,1,0,0,0,0
x292,1,0,1,1,0
x293,1,1,1,0,0
x294,1,0,1,0,0
x295,1,1,0,1,1
x298,1,1,1,0,1
