name,marker_type,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,start_time
cegar_dense_192_3fp_mc16.toml_seed_1149526,marker,2,36,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,1,0.00s
cegar_dense_192_3fp_mc16.toml_seed_1149526,marker,3,36,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,1,0.00s
cegar_dense_256_3fp_mc16_seed_1809,marker1,1,17,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
cegar_dense_256_3fp_mc16_seed_1809,marker,1,17,synthesis,maxclause32,cegar3_nocanonic,0,0.79s,SAT,4,0.00s
cegar_dense_256_3fp_mc16_seed_1809,marker1,2,17,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
cegar_dense_256_3fp_mc16_seed_1809,marker,2,17,synthesis,maxclause32,cegar3_nocanonic,0,0.36s,SAT,1,0.00s
cegar_dense_256_3fp_mc16_seed_1809,marker,3,17,synthesis,maxclause32,cegar3_nocanonic,124,1.48s,TO,7,0.00s
cegar_dense_256_3fp_mc8_seed_4110121,marker1,1,158,synthesis,maxclause32,cegar3_nocanonic,0,0.04s,UNSAT,0,0.00s
cegar_dense_256_3fp_mc8_seed_4110121,marker,1,158,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,1,0.00s
cegar_dense_256_3fp_mc8_seed_4110121,marker1,2,158,synthesis,maxclause32,cegar3_nocanonic,0,0.04s,UNSAT,0,0.00s
cegar_dense_256_3fp_mc8_seed_4110121,marker,2,158,synthesis,maxclause32,cegar3_nocanonic,0,0.68s,UNSAT,1,0.00s
cegar_dense_256_3fp_mc8_seed_4110121,marker,3,158,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,1,0.00s
cegar_dense_32_3fp_mc8_seed_5781669,marker1,1,17,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
cegar_dense_32_3fp_mc8_seed_5781669,marker,1,17,synthesis,maxclause32,cegar3_nocanonic,0,0.04s,UNSAT,2,0.00s
cegar_dense_32_3fp_mc8_seed_5781669,marker1,2,17,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
cegar_dense_32_3fp_mc8_seed_5781669,marker,2,17,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
cegar_dense_32_3fp_mc8_seed_5781669,marker,3,17,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
cegar_dense_32_3fp_seed_4415,marker1,1,14,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
cegar_dense_32_3fp_seed_4415,marker,1,14,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
cegar_dense_32_3fp_seed_4415,marker1,2,14,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
cegar_dense_32_3fp_seed_4415,marker,2,14,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
cegar_dense_32_3fp_seed_4415,marker,3,14,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
cegar_dense_384_3fp_mc16_seed_9174,marker1,1,84,synthesis,maxclause32,cegar3_nocanonic,0,0.07s,UNSAT,0,0.00s
cegar_dense_384_3fp_mc16_seed_9174,marker1,2,84,synthesis,maxclause32,cegar3_nocanonic,0,0.07s,UNSAT,0,0.00s
cegar_dense_384_3fp_mc16_seed_9174,marker,1,84,synthesis,maxclause32,cegar3_nocanonic,0,2.93s,SAT,5,0.00s
cegar_dense_384_3fp_mc16_seed_9174,marker,2,84,synthesis,maxclause32,cegar3_nocanonic,0,4.31s,SAT,7,0.00s
cegar_dense_384_3fp_mc16_seed_9174,marker,3,84,synthesis,maxclause32,cegar3_nocanonic,0,3.92s,SAT,4,0.00s
cegar_dense_384_3fp_mc16_seed_96372,marker1,1,62,synthesis,maxclause32,cegar3_nocanonic,0,0.08s,UNSAT,0,0.00s
cegar_dense_384_3fp_mc16_seed_96372,marker1,2,62,synthesis,maxclause32,cegar3_nocanonic,0,0.08s,UNSAT,0,0.00s
cegar_dense_384_3fp_mc16_seed_96372,marker,1,62,synthesis,maxclause32,cegar3_nocanonic,0,2.39s,SAT,4,0.00s
cegar_dense_384_3fp_mc16_seed_96372,marker,2,62,synthesis,maxclause32,cegar3_nocanonic,0,2.62s,SAT,3,0.00s
cegar_dense_384_3fp_mc16_seed_96372,marker,3,62,synthesis,maxclause32,cegar3_nocanonic,0,5.07s,SAT,5,0.00s
cegar_dense_512_3fp_mc16_seed_41365,marker1,1,77,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc16_seed_41365,marker1,2,77,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc16_seed_41365,marker,1,77,synthesis,maxclause32,cegar3_nocanonic,0,1.86s,SAT,2,0.00s
cegar_dense_512_3fp_mc16_seed_41365,marker,2,77,synthesis,maxclause32,cegar3_nocanonic,0,5.01s,SAT,3,0.00s
cegar_dense_512_3fp_mc16_seed_41365,marker,3,77,synthesis,maxclause32,cegar3_nocanonic,0,4.60s,SAT,5,0.00s
cegar_dense_512_3fp_mc16_seed_486556,marker1,1,132,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc16_seed_486556,marker,1,132,synthesis,maxclause32,cegar3_nocanonic,0,4.53s,SAT,4,0.00s
cegar_dense_512_3fp_mc16_seed_486556,marker1,2,132,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc16_seed_486556,marker,2,132,synthesis,maxclause32,cegar3_nocanonic,0,8.92s,SAT,7,0.00s
cegar_dense_512_3fp_mc16_seed_486556,marker,3,132,synthesis,maxclause32,cegar3_nocanonic,0,4.53s,SAT,4,0.00s
cegar_dense_512_3fp_mc8_1_seed_615891,marker1,1,70,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_1_seed_615891,marker1,2,70,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_1_seed_615891,marker,1,70,synthesis,maxclause32,cegar3_nocanonic,0,10.99s,SAT,6,0.00s
cegar_dense_512_3fp_mc8_1_seed_615891,marker,2,70,synthesis,maxclause32,cegar3_nocanonic,0,20.83s,SAT,9,0.00s
cegar_dense_512_3fp_mc8_1_seed_615891,marker,3,70,synthesis,maxclause32,cegar3_nocanonic,0,10.68s,SAT,7,0.00s
cegar_dense_512_3fp_mc8_2_seed_119057,marker1,1,113,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_2_seed_119057,marker,1,113,synthesis,maxclause32,cegar3_nocanonic,0,2.58s,UNSAT,1,0.00s
cegar_dense_512_3fp_mc8_2_seed_119057,marker1,2,113,synthesis,maxclause32,cegar3_nocanonic,0,0.11s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_2_seed_119057,marker,2,113,synthesis,maxclause32,cegar3_nocanonic,0,2.74s,UNSAT,1,0.00s
cegar_dense_512_3fp_mc8_2_seed_119057,marker,3,113,synthesis,maxclause32,cegar3_nocanonic,0,1.76s,UNSAT,1,0.00s
cegar_dense_512_3fp_mc8_3_seed_924145,marker1,1,69,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_3_seed_924145,marker1,2,69,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_3_seed_924145,marker,1,69,synthesis,maxclause32,cegar3_nocanonic,0,3.66s,UNSAT,4,0.00s
cegar_dense_512_3fp_mc8_3_seed_924145,marker,2,69,synthesis,maxclause32,cegar3_nocanonic,0,5.06s,UNSAT,2,0.00s
cegar_dense_512_3fp_mc8_3_seed_924145,marker,3,69,synthesis,maxclause32,cegar3_nocanonic,0,0.59s,UNSAT,2,0.00s
cegar_dense_512_3fp_mc8_v2_seed_8293132,marker1,1,49,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_v2_seed_8293132,marker1,2,49,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_v2_seed_8293132,marker,1,49,synthesis,maxclause32,cegar3_nocanonic,0,3.24s,SAT,4,0.00s
cegar_dense_512_3fp_mc8_v2_seed_8293132,marker,2,49,synthesis,maxclause32,cegar3_nocanonic,0,5.78s,SAT,5,0.00s
cegar_dense_512_3fp_mc8_v2_seed_8293132,marker,3,49,synthesis,maxclause32,cegar3_nocanonic,0,5.23s,SAT,3,0.00s
cegar_dense_512_3fp_mc8_v3_seed_1622597,marker1,1,141,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_v3_seed_1622597,marker,1,141,synthesis,maxclause32,cegar3_nocanonic,0,2.84s,UNSAT,2,0.00s
cegar_dense_512_3fp_mc8_v3_seed_1622597,marker1,2,141,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,0,0.00s
cegar_dense_512_3fp_mc8_v3_seed_1622597,marker,2,141,synthesis,maxclause32,cegar3_nocanonic,0,0.31s,UNSAT,1,0.00s
cegar_dense_512_3fp_mc8_v3_seed_1622597,marker,3,141,synthesis,maxclause32,cegar3_nocanonic,0,0.31s,UNSAT,1,0.00s
cegar_dense_64_3fp_mc8_seed_10556478,marker1,1,34,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
cegar_dense_64_3fp_mc8_seed_10556478,marker1,2,34,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
cegar_dense_64_3fp_mc8_seed_10556478,marker,1,34,synthesis,maxclause32,cegar3_nocanonic,0,0.03s,UNSAT,1,0.00s
cegar_dense_64_3fp_mc8_seed_10556478,marker,2,34,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,1,0.00s
cegar_dense_64_3fp_mc8_seed_10556478,marker,3,34,synthesis,maxclause32,cegar3_nocanonic,0,0.07s,UNSAT,2,0.00s
print1_seed_78817,marker1,1,7,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,0,0.00s
print1_seed_78817,marker1,2,7,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,0,0.00s
print1_seed_78817,marker,1,7,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,SAT,1,0.00s
print1_seed_78817,marker,2,7,synthesis,maxclause32,cegar3_nocanonic,0,0.44s,SAT,4,0.00s
print1_seed_78817,marker,3,7,synthesis,maxclause32,cegar3_nocanonic,0,0.25s,SAT,3,0.00s
test2_seed_74996,marker1,1,19,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
test2_seed_74996,marker,1,19,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
test2_seed_74996,marker1,2,19,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
test2_seed_74996,marker,2,19,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
test2_seed_74996,marker,3,19,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
test_hola_seed_14764,marker1,1,16,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
test_hola_seed_14764,marker,1,16,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
test_hola_seed_14764,marker1,2,16,synthesis,maxclause32,cegar3_nocanonic,0,0.01s,UNSAT,0,0.00s
test_hola_seed_14764,marker,2,16,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
test_hola_seed_14764,marker,3,16,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,1,0.00s
300_v1_10326611_seed_10326611,marker1,1,79,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_10326611_seed_10326611,marker1,2,79,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_10326611_seed_10326611,marker,1,79,synthesis,maxclause32,cegar3_nocanonic,0,1.62s,UNSAT,2,0.00s
300_v1_10326611_seed_10326611,marker,2,79,synthesis,maxclause32,cegar3_nocanonic,0,0.36s,UNSAT,1,0.00s
300_v1_10326611_seed_10326611,marker,3,79,synthesis,maxclause32,cegar3_nocanonic,0,0.60s,UNSAT,1,0.00s
300_v1_1113648_seed_1113648,marker1,1,116,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_1113648_seed_1113648,marker,1,116,synthesis,maxclause32,cegar3_nocanonic,0,0.82s,SAT,2,0.00s
300_v1_1113648_seed_1113648,marker1,2,116,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_1113648_seed_1113648,marker,2,116,synthesis,maxclause32,cegar3_nocanonic,0,0.96s,SAT,1,0.00s
300_v1_1113648_seed_1113648,marker,3,116,synthesis,maxclause32,cegar3_nocanonic,0,0.69s,UNSAT,4,0.00s
300_v1_1316911_seed_1316911,marker1,1,115,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_1316911_seed_1316911,marker,1,115,synthesis,maxclause32,cegar3_nocanonic,0,0.75s,SAT,2,0.00s
300_v1_1316911_seed_1316911,marker1,2,115,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_1316911_seed_1316911,marker,2,115,synthesis,maxclause32,cegar3_nocanonic,0,0.77s,SAT,2,0.00s
300_v1_1316911_seed_1316911,marker,3,115,synthesis,maxclause32,cegar3_nocanonic,0,1.86s,SAT,5,0.00s
300_v1_6575354_seed_6575354,marker,1,103,synthesis,maxclause32,cegar3_nocanonic,0,0.60s,SAT,1,0.00s
300_v1_6575354_seed_6575354,marker1,1,103,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_6575354_seed_6575354,marker1,2,103,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_6575354_seed_6575354,marker,2,103,synthesis,maxclause32,cegar3_nocanonic,0,1.68s,SAT,3,0.00s
300_v1_6575354_seed_6575354,marker,3,103,synthesis,maxclause32,cegar3_nocanonic,0,0.96s,SAT,2,0.00s
300_v1_6900703_seed_6900703,marker,1,100,synthesis,maxclause32,cegar3_nocanonic,0,0.62s,UNSAT,1,0.00s
300_v1_6900703_seed_6900703,marker1,1,100,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_6900703_seed_6900703,marker1,2,100,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_6900703_seed_6900703,marker,2,100,synthesis,maxclause32,cegar3_nocanonic,0,0.18s,UNSAT,1,0.00s
300_v1_6900703_seed_6900703,marker,3,100,synthesis,maxclause32,cegar3_nocanonic,0,0.29s,UNSAT,1,0.00s
300_v1_8005319_seed_8005319,marker1,1,70,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_8005319_seed_8005319,marker1,2,70,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_8005319_seed_8005319,marker,1,70,synthesis,maxclause32,cegar3_nocanonic,0,3.81s,SAT,7,0.00s
300_v1_8005319_seed_8005319,marker,2,70,synthesis,maxclause32,cegar3_nocanonic,0,0.65s,SAT,1,0.00s
300_v1_8076333_seed_8076333,marker1,1,30,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_8076333_seed_8076333,marker1,2,30,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_8076333_seed_8076333,marker,1,30,synthesis,maxclause32,cegar3_nocanonic,0,0.16s,UNSAT,1,0.00s
300_v1_8076333_seed_8076333,marker,2,30,synthesis,maxclause32,cegar3_nocanonic,0,0.42s,UNSAT,1,0.00s
300_v1_8076333_seed_8076333,marker,3,30,synthesis,maxclause32,cegar3_nocanonic,0,0.17s,UNSAT,1,0.00s
300_v1_8639778_seed_8639778,marker1,1,79,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_8639778_seed_8639778,marker1,2,79,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_8639778_seed_8639778,marker,1,79,synthesis,maxclause32,cegar3_nocanonic,0,1.06s,SAT,1,0.00s
300_v1_8639778_seed_8639778,marker,2,79,synthesis,maxclause32,cegar3_nocanonic,0,0.88s,SAT,2,0.00s
300_v1_8639778_seed_8639778,marker,3,79,synthesis,maxclause32,cegar3_nocanonic,0,0.43s,SAT,0,0.00s
300_v1_8902140_seed_8902140,marker1,1,79,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_8902140_seed_8902140,marker1,2,79,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,0,0.00s
300_v1_8902140_seed_8902140,marker,1,79,synthesis,maxclause32,cegar3_nocanonic,0,0.75s,SAT,2,0.00s
300_v1_8902140_seed_8902140,marker,2,79,synthesis,maxclause32,cegar3_nocanonic,0,0.95s,SAT,2,0.00s
300_v1_8902140_seed_8902140,marker,3,79,synthesis,maxclause32,cegar3_nocanonic,0,0.53s,SAT,1,0.00s
300_v1_9346978_seed_9346978,marker1,1,27,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_9346978_seed_9346978,marker1,2,27,synthesis,maxclause32,cegar3_nocanonic,0,0.05s,UNSAT,0,0.00s
300_v1_9346978_seed_9346978,marker,1,27,synthesis,maxclause32,cegar3_nocanonic,0,1.70s,SAT,4,0.00s
300_v1_9346978_seed_9346978,marker,2,27,synthesis,maxclause32,cegar3_nocanonic,0,1.02s,UNSAT,4,0.00s
300_v1_9346978_seed_9346978,marker,3,27,synthesis,maxclause32,cegar3_nocanonic,0,0.30s,SAT,0,0.00s
600_v1_seed_11417671,marker1,1,71,synthesis,maxclause32,cegar3_nocanonic,0,0.13s,UNSAT,0,0.00s
600_v1_seed_11417671,marker1,2,71,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_11417671,marker,1,71,synthesis,maxclause32,cegar3_nocanonic,0,1.22s,SAT,0,0.00s
600_v1_seed_11417671,marker,2,71,synthesis,maxclause32,cegar3_nocanonic,0,3.12s,SAT,1,0.00s
600_v1_seed_11417671,marker,3,71,synthesis,maxclause32,cegar3_nocanonic,0,8.78s,SAT,5,0.00s
600_v1_seed_11435461,marker1,1,55,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_11435461,marker1,2,55,synthesis,maxclause32,cegar3_nocanonic,0,0.13s,UNSAT,0,0.00s
600_v1_seed_11435461,marker,1,55,synthesis,maxclause32,cegar3_nocanonic,0,6.36s,SAT,4,0.00s
600_v1_seed_11435461,marker,2,55,synthesis,maxclause32,cegar3_nocanonic,0,5.20s,SAT,2,0.00s
600_v1_seed_11435461,marker,3,55,synthesis,maxclause32,cegar3_nocanonic,0,6.08s,SAT,3,0.00s
600_v1_seed_12112800,marker1,1,162,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_12112800,marker,1,162,synthesis,maxclause32,cegar3_nocanonic,0,3.97s,UNSAT,1,0.00s
600_v1_seed_12112800,marker1,2,162,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_12112800,marker,2,162,synthesis,maxclause32,cegar3_nocanonic,0,0.39s,UNSAT,1,0.00s
600_v1_seed_12112800,marker,3,162,synthesis,maxclause32,cegar3_nocanonic,0,0.39s,UNSAT,1,0.00s
600_v1_seed_1301956,marker1,1,124,synthesis,maxclause32,cegar3_nocanonic,0,0.13s,UNSAT,0,0.00s
600_v1_seed_1301956,marker,1,124,synthesis,maxclause32,cegar3_nocanonic,0,1.77s,SAT,1,0.00s
600_v1_seed_1301956,marker1,2,124,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_1301956,marker,2,124,synthesis,maxclause32,cegar3_nocanonic,0,0.72s,UNSAT,2,0.00s
600_v1_seed_1301956,marker,3,124,synthesis,maxclause32,cegar3_nocanonic,0,4.53s,SAT,2,0.00s
600_v1_seed_4266311,marker1,1,175,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_4266311,marker,1,175,synthesis,maxclause32,cegar3_nocanonic,0,2.32s,SAT,1,0.00s
600_v1_seed_4266311,marker1,2,175,synthesis,maxclause32,cegar3_nocanonic,0,0.13s,UNSAT,0,0.00s
600_v1_seed_4266311,marker,2,175,synthesis,maxclause32,cegar3_nocanonic,0,5.66s,SAT,2,0.00s
600_v1_seed_4266311,marker,3,175,synthesis,maxclause32,cegar3_nocanonic,0,2.37s,SAT,1,0.00s
600_v1_seed_9682799,marker1,1,181,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_9682799,marker,1,181,synthesis,maxclause32,cegar3_nocanonic,0,2.20s,SAT,0,0.00s
600_v1_seed_9682799,marker1,2,181,synthesis,maxclause32,cegar3_nocanonic,0,0.12s,UNSAT,0,0.00s
600_v1_seed_9682799,marker,2,181,synthesis,maxclause32,cegar3_nocanonic,0,5.49s,SAT,3,0.00s
600_v1_seed_9682799,marker,3,181,synthesis,maxclause32,cegar3_nocanonic,0,5.11s,SAT,2,0.00s
900_v1_seed_1085828,marker1,1,275,synthesis,maxclause32,cegar3_nocanonic,0,0.22s,UNSAT,0,0.00s
900_v1_seed_1085828,marker1,2,275,synthesis,maxclause32,cegar3_nocanonic,0,0.21s,UNSAT,0,0.00s
900_v1_seed_1085828,marker,1,275,synthesis,maxclause32,cegar3_nocanonic,0,20.60s,SAT,4,0.00s
900_v1_seed_1085828,marker,2,275,synthesis,maxclause32,cegar3_nocanonic,0,5.04s,SAT,1,0.00s
900_v1_seed_1085828,marker,3,275,synthesis,maxclause32,cegar3_nocanonic,0,4.64s,SAT,1,0.00s
900_v1_seed_255105,marker1,1,161,synthesis,maxclause32,cegar3_nocanonic,0,0.21s,UNSAT,0,0.00s
900_v1_seed_255105,marker,1,161,synthesis,maxclause32,cegar3_nocanonic,0,7.86s,SAT,2,0.00s
900_v1_seed_255105,marker1,2,161,synthesis,maxclause32,cegar3_nocanonic,0,0.21s,UNSAT,0,0.00s
900_v1_seed_255105,marker,2,161,synthesis,maxclause32,cegar3_nocanonic,0,6.20s,SAT,1,0.00s
900_v1_seed_255105,marker,3,161,synthesis,maxclause32,cegar3_nocanonic,0,12.40s,SAT,2,0.00s
